gene,tpm,percentile,status
ATP2A1,2.92,82.4,EXPRESSED
PLPP4,2.91,82.4,EXPRESSED
OR13A1,2.91,82.4,EXPRESSED
PODXL2,2.91,82.4,EXPRESSED
OR9A2,2.9,82.4,EXPRESSED
CYP3A4,2.9,82.4,EXPRESSED
GRIA1,2.9,82.4,EXPRESSED
ART4,2.89,82.4,EXPRESSED
ARL6IP6,2.89,82.4,EXPRESSED
KCND1,2.88,82.4,EXPRESSED
SPATA1,2.87,82.4,EXPRESSED
ULBP3,2.87,82.4,EXPRESSED
OR1Q1,2.87,82.4,EXPRESSED
PCDHA3,2.86,82.4,EXPRESSED
NDUFA13,2.85,82.4,EXPRESSED
SLC22A1,2.85,82.3,EXPRESSED
NDRG4,2.85,82.3,EXPRESSED
FUT2,2.85,82.3,EXPRESSED
KCNB1,2.85,82.3,EXPRESSED
ALG9,2.85,82.3,EXPRESSED
SMIM10,2.84,82.3,EXPRESSED
SPPL2B,2.84,82.3,EXPRESSED
OR8K3,2.84,82.3,EXPRESSED
VN1R5,2.83,82.3,EXPRESSED
TAS2R43,2.83,82.3,EXPRESSED
TPTE2,2.83,82.3,EXPRESSED
ATP10A,2.82,82.3,EXPRESSED
OBSCN,2.81,82.3,EXPRESSED
ATP2A3,2.81,82.3,EXPRESSED
CD27,2.81,82.3,EXPRESSED
NUP210,2.79,82.3,EXPRESSED
KCNN3,2.78,82.3,EXPRESSED
FBXO41,2.78,82.3,EXPRESSED
BCDIN3D,2.77,82.3,EXPRESSED
BAIAP2,2.77,82.3,EXPRESSED
BAK1,2.77,82.3,EXPRESSED
OR51M1,2.77,82.2,EXPRESSED
CCKAR,2.76,82.2,EXPRESSED
LHFPL1,2.75,82.2,EXPRESSED
CYP39A1,2.74,82.2,EXPRESSED
TRAT1,2.74,82.2,EXPRESSED
MAN1C1,2.73,82.2,EXPRESSED
PTGS2,2.73,82.2,EXPRESSED
DNAH6,2.73,82.2,EXPRESSED
SCN2B,2.72,82.2,EXPRESSED
ALG1,2.72,82.2,EXPRESSED
KLRC3,2.72,82.2,EXPRESSED
TSPO2,2.71,82.2,EXPRESSED
TXK,2.7,82.2,EXPRESSED
ABCA13,2.69,82.2,EXPRESSED
LRIG1,2.69,82.2,EXPRESSED
CERS4,2.69,82.2,EXPRESSED
SLC35F3,2.68,82.2,EXPRESSED
SLC18A2,2.68,82.2,EXPRESSED
KIF17,2.67,82.2,EXPRESSED
C11orf87,2.67,82.1,EXPRESSED
SLCO4A1,2.67,82.1,EXPRESSED
OR4C5,2.66,82.1,EXPRESSED
CFAP47,2.66,82.1,EXPRESSED
LINGO2,2.66,82.1,EXPRESSED
OR51I1,2.65,82.1,EXPRESSED
TMEM233,2.65,82.1,EXPRESSED
CD38,2.65,82.1,EXPRESSED
TIMD4,2.65,82.1,EXPRESSED
DIABLO,2.64,82.1,EXPRESSED
TAS2R10,2.64,82.1,EXPRESSED
EREG,2.63,82.1,EXPRESSED
KCNV1,2.63,82.1,EXPRESSED
FFAR4,2.62,82.1,EXPRESSED
RND1,2.62,82.1,EXPRESSED
UCP1,2.6,82.1,EXPRESSED
CLGN,2.6,82.1,EXPRESSED
AJM1,2.59,82.1,EXPRESSED
RASD2,2.59,82.1,EXPRESSED
CD3G,2.59,82.1,EXPRESSED
CD300E,2.59,82.1,EXPRESSED
SPTBN2,2.59,82.1,EXPRESSED
SYNPR,2.58,82.0,EXPRESSED
ABCA12,2.58,82.0,EXPRESSED
NHSL2,2.58,82.0,EXPRESSED
SLC51A,2.57,82.0,EXPRESSED
OR8B2,2.57,82.0,EXPRESSED
SLFN12L,2.56,82.0,EXPRESSED
GET1,2.56,82.0,EXPRESSED
CADM2,2.55,82.0,EXPRESSED
CRTAM,2.55,82.0,EXPRESSED
PLPPR3,2.55,82.0,EXPRESSED
CDH12,2.54,82.0,EXPRESSED
LRFN4,2.54,82.0,EXPRESSED
TNFRSF13C,2.53,82.0,EXPRESSED
KLHL41,2.53,82.0,EXPRESSED
SIGIRR,2.53,82.0,EXPRESSED
PJVK,2.53,82.0,EXPRESSED
LRRC46,2.53,82.0,EXPRESSED
C19orf38,2.52,82.0,EXPRESSED
RTN2,2.52,82.0,EXPRESSED
ICOS,2.52,82.0,EXPRESSED
ACKR2,2.52,82.0,EXPRESSED
GAGE2A,2.52,82.0,EXPRESSED
PTGER3,2.52,82.0,EXPRESSED
B3GNT8,2.52,82.0,EXPRESSED
BCAP29,2.52,82.0,EXPRESSED
NUAK2,2.52,82.0,EXPRESSED
C2orf74,2.51,82.0,EXPRESSED
OR56B1,2.51,82.0,EXPRESSED
P2RY4,2.51,82.0,EXPRESSED
PCDHA5,2.51,82.0,EXPRESSED
EDA,2.51,81.9,EXPRESSED
SLC26A1,2.5,81.9,EXPRESSED
AMDHD1,2.5,81.9,EXPRESSED
CH25H,2.5,81.9,EXPRESSED
TAFA2,2.49,81.9,EXPRESSED
ANKFN1,2.49,81.9,EXPRESSED
ABCA9,2.49,81.9,EXPRESSED
PAQR4,2.49,81.9,EXPRESSED
YIF1B,2.49,81.9,EXPRESSED
GDAP1L1,2.48,81.9,EXPRESSED
SEZ6,2.48,81.9,EXPRESSED
MEFV,2.47,81.9,EXPRESSED
RNF182,2.47,81.9,EXPRESSED
KCNJ10,2.47,81.9,EXPRESSED
CEACAM1,2.47,81.9,EXPRESSED
TXNDC5,2.46,81.9,EXPRESSED
GAS2,2.46,81.9,EXPRESSED
FAM209B,2.46,81.9,EXPRESSED
FUT1,2.45,81.9,EXPRESSED
MPZL3,2.44,81.9,EXPRESSED
OR14K1,2.44,81.9,EXPRESSED
MEST,2.44,81.9,EXPRESSED
XKRX,2.44,81.9,EXPRESSED
GRIN3A,2.44,81.9,EXPRESSED
GRAP2,2.43,81.8,EXPRESSED
ELOVL7,2.43,81.8,EXPRESSED
GAP43,2.43,81.8,EXPRESSED
SLC39A3,2.43,81.8,EXPRESSED
FRMD7,2.42,81.8,EXPRESSED
TMEM266,2.42,81.8,EXPRESSED
BDKRB2,2.42,81.8,EXPRESSED
INSRR,2.41,81.8,EXPRESSED
LSR,2.41,81.8,EXPRESSED
SLC47A1,2.4,81.8,EXPRESSED
NFKBID,2.4,81.8,EXPRESSED
COX7A1,2.4,81.8,EXPRESSED
SLC14A2,2.39,81.8,EXPRESSED
ABCB5,2.38,81.8,EXPRESSED
HCAR2,2.38,81.8,EXPRESSED
GFY,2.38,81.8,EXPRESSED
CYP3A43,2.37,81.8,EXPRESSED
OSBPL6,2.36,81.7,EXPRESSED
OR8B3,2.36,81.7,EXPRESSED
WNT2B,2.35,81.7,EXPRESSED
RHCE,2.35,81.7,EXPRESSED
LMF1,2.34,81.7,EXPRESSED
SCN1B,2.34,81.7,EXPRESSED
C3orf33,2.34,81.7,EXPRESSED
ACSBG2,2.33,81.7,EXPRESSED
PCDHB2,2.33,81.7,EXPRESSED
OR8G3P,2.31,81.7,EXPRESSED
LY75,2.31,81.7,EXPRESSED
DIPK1B,2.31,81.7,EXPRESSED
FABP6,2.31,81.7,EXPRESSED
FAM171A2,2.31,81.7,EXPRESSED
PARD6A,2.3,81.7,EXPRESSED
GRAMD2A,2.29,81.7,EXPRESSED
ABCA10,2.29,81.7,EXPRESSED
GSG1,2.28,81.7,EXPRESSED
PGPEP1L,2.28,81.6,EXPRESSED
CD80,2.28,81.6,EXPRESSED
SLC14A1,2.28,81.6,EXPRESSED
AGT,2.28,81.6,EXPRESSED
CIAO3,2.27,81.6,EXPRESSED
CMTM2,2.27,81.6,EXPRESSED
ADH1A,2.25,81.6,EXPRESSED
MFSD13A,2.25,81.6,EXPRESSED
ZNG1F,2.25,81.6,EXPRESSED
TREM1,2.24,81.6,EXPRESSED
SLC9B1,2.24,81.6,EXPRESSED
RABAC1,2.24,81.6,EXPRESSED
GABRE,2.23,81.6,EXPRESSED
TMEM26,2.23,81.6,EXPRESSED
MANSC4,2.23,81.6,EXPRESSED
THPO,2.23,81.6,EXPRESSED
HCN3,2.22,81.6,EXPRESSED
SCNN1D,2.22,81.6,EXPRESSED
TNFRSF9,2.21,81.6,EXPRESSED
SPINT1,2.21,81.5,EXPRESSED
PPEF1,2.2,81.5,EXPRESSED
CDS1,2.19,81.5,EXPRESSED
PMEL,2.19,81.5,EXPRESSED
UGT2B17,2.19,81.5,EXPRESSED
SYNC,2.18,81.5,EXPRESSED
S1PR5,2.18,81.5,EXPRESSED
CD300LF,2.18,81.5,EXPRESSED
AP5S1,2.18,81.5,EXPRESSED
PKP1,2.18,81.5,EXPRESSED
CR1,2.17,81.5,EXPRESSED
FJX1,2.17,81.5,EXPRESSED
BMX,2.16,81.5,EXPRESSED
C1orf185,2.16,81.5,EXPRESSED
CDH20,2.16,81.5,EXPRESSED
NEGR1,2.16,81.5,EXPRESSED
PRF1,2.15,81.5,EXPRESSED
CDH26,2.15,81.5,EXPRESSED
LSAMP,2.14,81.5,EXPRESSED
P4HA3,2.14,81.5,EXPRESSED
OR4F21,2.14,81.5,EXPRESSED
SLC2A4,2.14,81.4,EXPRESSED
RNFT2,2.13,81.4,EXPRESSED
PROKR2,2.13,81.4,EXPRESSED
GABRR1,2.13,81.4,EXPRESSED
SLITRK4,2.13,81.4,EXPRESSED
ROBO3,2.13,81.4,EXPRESSED
PCDHA11,2.12,81.4,EXPRESSED
CRB2,2.12,81.4,EXPRESSED
PTPRO,2.11,81.4,EXPRESSED
RNASEH1,2.11,81.4,EXPRESSED
OR2S2,2.11,81.4,EXPRESSED
SPATA12,2.11,81.4,EXPRESSED
CHRNA5,2.11,81.4,EXPRESSED
ADCY5,2.1,81.4,EXPRESSED
CELSR1,2.1,81.4,EXPRESSED
TBC1D30,2.09,81.4,EXPRESSED
TMEM225B,2.09,81.4,EXPRESSED
TSPAN2,2.09,81.4,EXPRESSED
OPN1SW,2.09,81.4,EXPRESSED
SLC45A1,2.08,81.4,EXPRESSED
PRRG4,2.08,81.4,EXPRESSED
CNIH2,2.08,81.3,EXPRESSED
EPHB6,2.07,81.3,EXPRESSED
NRG3,2.07,81.3,EXPRESSED
KLRC2,2.07,81.3,EXPRESSED
SLC37A4,2.07,81.3,EXPRESSED
SUCNR1,2.06,81.3,EXPRESSED
CMTM1,2.06,81.3,EXPRESSED
ANKLE1,2.05,81.3,EXPRESSED
MUC3A,2.05,81.3,EXPRESSED
CLEC1B,2.05,81.3,EXPRESSED
KCNK6,2.05,81.3,EXPRESSED
PPL,2.05,81.3,EXPRESSED
ZDHHC24,2.04,81.3,EXPRESSED
MTCP1,2.04,81.3,EXPRESSED
MOXD1,2.04,81.3,EXPRESSED
PLIN4,2.04,81.3,EXPRESSED
TMEM139,2.04,81.3,EXPRESSED
HJV,2.03,81.3,EXPRESSED
OR8B12,2.02,81.2,EXPRESSED
PTGFR,2.02,81.2,EXPRESSED
MRGPRX4,2.02,81.2,EXPRESSED
SIRPB1,2.01,81.2,EXPRESSED
GPRC5D,2.01,81.2,EXPRESSED
OR9A4,2.01,81.2,EXPRESSED
PLIN1,2.01,81.2,EXPRESSED
PIGZ,2.01,81.2,EXPRESSED
XKR5,2.0,81.2,EXPRESSED
CYP2F1,2.0,81.2,EXPRESSED
NLGN4X,2.0,81.2,EXPRESSED
RAB27B,1.99,81.2,EXPRESSED
CBARP,1.99,81.2,EXPRESSED
TMPRSS11E,1.98,81.2,EXPRESSED
DIRAS1,1.98,81.2,EXPRESSED
CEACAM4,1.98,81.2,EXPRESSED
PKHD1L1,1.98,81.2,EXPRESSED
P2RY8,1.97,81.2,EXPRESSED
MCF2,1.97,81.2,EXPRESSED
CCDC163,1.97,81.1,EXPRESSED
TMEM30B,1.97,81.1,EXPRESSED
CNMD,1.96,81.1,EXPRESSED
LRRTM3,1.96,81.1,EXPRESSED
OXER1,1.96,81.1,EXPRESSED
IL22RA1,1.96,81.1,EXPRESSED
CHGA,1.96,81.1,EXPRESSED
PCDHA8,1.96,81.1,EXPRESSED
CLCN2,1.95,81.1,EXPRESSED
SPHK1,1.95,81.1,EXPRESSED
CD226,1.95,81.1,EXPRESSED
SLC25A34,1.95,81.1,EXPRESSED
FCGR3B,1.95,81.1,EXPRESSED
ACP3,1.94,81.1,EXPRESSED
DDIT4L,1.94,81.1,EXPRESSED
CD300C,1.94,81.1,EXPRESSED
TNFSF13,1.94,81.1,EXPRESSED
TGM1,1.93,81.1,EXPRESSED
TMEM108,1.93,81.1,EXPRESSED
TEKTIP1,1.93,81.1,EXPRESSED
CRELD1,1.93,81.1,EXPRESSED
DHCR7,1.93,81.1,EXPRESSED
SUSD3,1.91,81.0,EXPRESSED
C16orf54,1.91,81.0,EXPRESSED
TRPC5,1.91,81.0,EXPRESSED
CLEC4F,1.91,81.0,EXPRESSED
PCSK4,1.91,81.0,EXPRESSED
TLCD4-RWDD3,1.89,81.0,EXPRESSED
HRH2,1.89,81.0,EXPRESSED
GLRA1,1.89,81.0,EXPRESSED
CDH17,1.89,81.0,EXPRESSED
RGMB,1.89,81.0,EXPRESSED
TAS1R1,1.89,81.0,EXPRESSED
REEP2,1.89,81.0,EXPRESSED
PCDHA9,1.88,81.0,EXPRESSED
GPR68,1.88,81.0,EXPRESSED
SGCE,1.87,81.0,EXPRESSED
CHST6,1.87,81.0,EXPRESSED
SCN3B,1.87,81.0,EXPRESSED
DUSP15,1.87,81.0,EXPRESSED
LRRN4CL,1.86,80.9,EXPRESSED
PCDH7,1.85,80.9,EXPRESSED
POPDC3,1.85,80.9,EXPRESSED
AWAT1,1.85,80.9,EXPRESSED
TMEM276,1.84,80.9,EXPRESSED
MSMB,1.84,80.9,EXPRESSED
MRGPRX3,1.84,80.9,EXPRESSED
ENDOG,1.84,80.9,EXPRESSED
TMPRSS12,1.84,80.9,EXPRESSED
REEP6,1.83,80.9,EXPRESSED
CEACAM21,1.83,80.9,EXPRESSED
SLC3A1,1.83,80.9,EXPRESSED
EFNA2,1.82,80.9,EXPRESSED
OR1N2,1.82,80.9,EXPRESSED
CD48,1.82,80.9,EXPRESSED
USP2,1.82,80.9,EXPRESSED
PURG,1.81,80.9,EXPRESSED
CCR2,1.81,80.9,EXPRESSED
TMIE,1.81,80.8,EXPRESSED
TRPM3,1.81,80.8,EXPRESSED
ADAM23,1.81,80.8,EXPRESSED
OCM,1.81,80.8,EXPRESSED
IL1RAPL1,1.8,80.8,EXPRESSED
PDZD9,1.8,80.8,EXPRESSED
TRAF3IP3,1.8,80.8,EXPRESSED
GABRA2,1.79,80.8,EXPRESSED
MEP1B,1.79,80.8,EXPRESSED
SLC35G5,1.79,80.8,EXPRESSED
MST1R,1.78,80.8,EXPRESSED
ACTL10,1.78,80.8,EXPRESSED
KCNA3,1.77,80.8,EXPRESSED
ABCC2,1.77,80.8,EXPRESSED
MARCHF10,1.75,80.7,EXPRESSED
ANO7,1.75,80.7,EXPRESSED
CDH23,1.75,80.7,EXPRESSED
CSPG5,1.75,80.7,EXPRESSED
SLC22A18,1.75,80.7,EXPRESSED
OR8B8,1.74,80.7,EXPRESSED
SLITRK5,1.74,80.7,EXPRESSED
TEX55,1.74,80.7,EXPRESSED
RHD,1.73,80.7,EXPRESSED
CEACAM19,1.73,80.7,EXPRESSED
ARHGEF5,1.72,80.7,EXPRESSED
IGKV3OR2-268,1.72,80.7,EXPRESSED
TMEM134,1.72,80.7,EXPRESSED
GRIN2C,1.72,80.7,EXPRESSED
RAB41,1.72,80.7,EXPRESSED
SLC1A2,1.72,80.7,EXPRESSED
SUSD2,1.71,80.6,EXPRESSED
IL12RB1,1.71,80.6,EXPRESSED
STAC,1.71,80.6,EXPRESSED
SLC25A53,1.71,80.6,EXPRESSED
PSMD9,1.7,80.6,EXPRESSED
RAB5IF,1.7,80.6,EXPRESSED
DCST2,1.7,80.6,EXPRESSED
VSIG10L,1.7,80.6,EXPRESSED
OR5M10,1.69,80.6,EXPRESSED
APCDD1L,1.69,80.6,EXPRESSED
CLDN7,1.69,80.6,EXPRESSED
EPHA1,1.69,80.6,EXPRESSED
BTNL3,1.69,80.6,EXPRESSED
SSTR2,1.69,80.6,EXPRESSED
GPRIN1,1.68,80.6,EXPRESSED
OR2A2,1.68,80.6,EXPRESSED
IL17RE,1.68,80.6,EXPRESSED
ADCY1,1.67,80.6,EXPRESSED
SCARA5,1.67,80.6,EXPRESSED
FMO1,1.67,80.6,EXPRESSED
LRRC8E,1.67,80.6,EXPRESSED
SPATA31C1,1.67,80.6,EXPRESSED
CNTNAP3B,1.66,80.5,EXPRESSED
MCEMP1,1.66,80.5,EXPRESSED
CYP17A1,1.66,80.5,EXPRESSED
PLEKHN1,1.66,80.5,EXPRESSED
LILRA1,1.66,80.5,EXPRESSED
OR1E2,1.65,80.5,EXPRESSED
KIF26B,1.65,80.5,EXPRESSED
USH2A,1.65,80.5,EXPRESSED
TRIM71,1.65,80.5,EXPRESSED
HTR7,1.65,80.5,EXPRESSED
GPR3,1.64,80.5,EXPRESSED
GFRA2,1.63,80.5,EXPRESSED
ITGAD,1.62,80.5,EXPRESSED
CHRNB2,1.62,80.4,EXPRESSED
GABRD,1.62,80.4,EXPRESSED
SCART1,1.61,80.4,EXPRESSED
OR10J4,1.61,80.4,EXPRESSED
OR6C70,1.6,80.4,EXPRESSED
AQP8,1.59,80.4,EXPRESSED
GRIN3B,1.59,80.4,EXPRESSED
HAS2,1.59,80.4,EXPRESSED
OR2A7,1.59,80.4,EXPRESSED
SLC31A2,1.58,80.4,EXPRESSED
WDR17,1.58,80.4,EXPRESSED
TNFRSF18,1.58,80.4,EXPRESSED
IGKV3D-20,1.58,80.4,EXPRESSED
TMEM221,1.58,80.4,EXPRESSED
CACNA2D2,1.57,80.4,EXPRESSED
BOK,1.57,80.4,EXPRESSED
SYPL2,1.56,80.3,EXPRESSED
STOML1,1.56,80.3,EXPRESSED
UNC5D,1.56,80.3,EXPRESSED
TM6SF2,1.56,80.3,EXPRESSED
CLCNKA,1.56,80.3,EXPRESSED
FREM2,1.55,80.3,EXPRESSED
BANK1,1.55,80.3,EXPRESSED
HTR2A,1.55,80.3,EXPRESSED
ADTRP,1.55,80.3,EXPRESSED
OXTR,1.55,80.3,EXPRESSED
CAVIN3,1.55,80.3,EXPRESSED
ATP6V0E2,1.55,80.3,EXPRESSED
TBC1D3L,1.55,80.3,EXPRESSED
LRRC9,1.55,80.3,EXPRESSED
ABCB9,1.54,80.3,EXPRESSED
ATL1,1.54,80.3,EXPRESSED
SPINT2,1.54,80.3,EXPRESSED
AATK,1.54,80.3,EXPRESSED
IL1RAPL2,1.54,80.3,EXPRESSED
NECTIN4,1.54,80.3,EXPRESSED
CLEC4C,1.54,80.3,EXPRESSED
ADCY8,1.54,80.3,EXPRESSED
GPR19,1.53,80.3,EXPRESSED
RAB43,1.53,80.3,EXPRESSED
XDH,1.52,80.3,EXPRESSED
PCLO,1.52,80.3,EXPRESSED
ANTKMT,1.52,80.3,EXPRESSED
TREH,1.51,80.2,EXPRESSED
ARL9,1.51,80.2,EXPRESSED
SHISA3,1.51,80.2,EXPRESSED
GRM7,1.51,80.2,EXPRESSED
DSG3,1.51,80.2,EXPRESSED
MGST1,1.51,80.2,EXPRESSED
KLRC4,1.51,80.2,EXPRESSED
PCDHA7,1.51,80.2,EXPRESSED
TM9SF1,1.51,80.2,EXPRESSED
OXGR1,1.51,80.2,EXPRESSED
MED17,1.5,80.2,EXPRESSED
TAS1R3,1.5,80.2,EXPRESSED
FCRL6,1.5,80.2,EXPRESSED
LY6G6C,1.5,80.2,EXPRESSED
SLC16A13,1.5,80.2,EXPRESSED
PSG9,1.49,80.2,EXPRESSED
CD300H,1.49,80.2,EXPRESSED
PRC1,1.49,80.2,EXPRESSED
PTPRT,1.49,80.2,EXPRESSED
TMEM231,1.49,80.2,EXPRESSED
JMJD4,1.49,80.2,EXPRESSED
OPCML,1.49,80.2,EXPRESSED
BRSK2,1.48,80.2,EXPRESSED
OR1L1,1.48,80.2,EXPRESSED
SLC34A3,1.48,80.2,EXPRESSED
TMEM232,1.48,80.2,EXPRESSED
GPR63,1.48,80.1,EXPRESSED
MFSD2A,1.48,80.1,EXPRESSED
PRRG3,1.48,80.1,EXPRESSED
SLC15A5,1.48,80.1,EXPRESSED
ZGPAT,1.48,80.1,EXPRESSED
DEGS2,1.47,80.1,EXPRESSED
PCDHAC1,1.47,80.1,EXPRESSED
LY6G6F,1.47,80.1,EXPRESSED
SYT9,1.47,80.1,EXPRESSED
GARIN2,1.47,80.1,EXPRESSED
TEX29,1.47,80.1,EXPRESSED
C22orf15,1.47,80.1,EXPRESSED
PIANP,1.47,80.1,EXPRESSED
ZDHHC11,1.47,80.1,EXPRESSED
STX1B,1.47,80.1,EXPRESSED
KCNG1,1.46,80.1,EXPRESSED
DCC,1.46,80.1,EXPRESSED
OR52W1,1.46,80.1,EXPRESSED
UGT2B15,1.46,80.1,EXPRESSED
SLC35F4,1.46,80.1,EXPRESSED
AQP4,1.45,80.1,EXPRESSED
GPR151,1.45,80.1,EXPRESSED
KIRREL3,1.45,80.1,EXPRESSED
CCDC107,1.44,80.1,EXPRESSED
IMPG2,1.44,80.1,EXPRESSED
CALHM1,1.44,80.0,EXPRESSED
CD300LB,1.44,80.0,EXPRESSED
CYP4Z1,1.43,80.0,EXPRESSED
ABO,1.42,80.0,EXPRESSED
PTCH2,1.42,80.0,EXPRESSED
VPREB3,1.42,80.0,EXPRESSED
SLC4A5,1.41,80.0,EXPRESSED
GDPD2,1.41,80.0,EXPRESSED
MYRF,1.41,80.0,EXPRESSED
MTX1,1.41,80.0,EXPRESSED
NFASC,1.41,80.0,EXPRESSED
TMEM45B,1.41,80.0,EXPRESSED
TMEM42,1.41,80.0,EXPRESSED
OR1A2,1.4,80.0,EXPRESSED
TSPAN19,1.4,79.9,EXPRESSED
LSMEM2,1.4,79.9,EXPRESSED
RHEX,1.4,79.9,EXPRESSED
IL17RC,1.39,79.9,EXPRESSED
ADGRF3,1.39,79.9,EXPRESSED
MGAT4C,1.39,79.9,EXPRESSED
SLC27A5,1.39,79.9,EXPRESSED
CORO2A,1.39,79.9,EXPRESSED
TPD52L1,1.39,79.9,EXPRESSED
TMEM121,1.39,79.9,EXPRESSED
SDK1,1.39,79.9,EXPRESSED
DNASE2B,1.38,79.9,EXPRESSED
SCTR,1.38,79.9,EXPRESSED
OR13D1,1.38,79.9,EXPRESSED
AQP3,1.38,79.9,EXPRESSED
SLC10A4,1.38,79.9,EXPRESSED
SLC35F1,1.37,79.9,EXPRESSED
SMIM11,1.37,79.9,EXPRESSED
CCR7,1.37,79.9,EXPRESSED
CNGA1,1.37,79.9,EXPRESSED
JAK3,1.37,79.9,EXPRESSED
SLC4A8,1.36,79.9,EXPRESSED
SLC29A4,1.36,79.8,EXPRESSED
FCAR,1.36,79.8,EXPRESSED
PROM2,1.36,79.8,EXPRESSED
CLDN1,1.36,79.8,EXPRESSED
DCLK3,1.35,79.8,EXPRESSED
TMPRSS11F,1.35,79.8,EXPRESSED
CCR8,1.35,79.8,EXPRESSED
SGPP2,1.35,79.8,EXPRESSED
P2RY10,1.35,79.8,EXPRESSED
KCNJ11,1.34,79.8,EXPRESSED
RAMP3,1.34,79.8,EXPRESSED
ADGRB2,1.33,79.8,EXPRESSED
RAB26,1.33,79.8,EXPRESSED
TMC3,1.33,79.8,EXPRESSED
PCDHA4,1.33,79.8,EXPRESSED
ADRA2B,1.33,79.8,EXPRESSED
LGR6,1.33,79.8,EXPRESSED
CFAP299,1.33,79.8,EXPRESSED
TFR2,1.33,79.8,EXPRESSED
SV2C,1.32,79.8,EXPRESSED
STRA6,1.32,79.7,EXPRESSED
ROM1,1.32,79.7,EXPRESSED
TNFSF14,1.32,79.7,EXPRESSED
CD7,1.31,79.7,EXPRESSED
TBC1D3H,1.3,79.7,EXPRESSED
HACD1,1.3,79.7,EXPRESSED
SLC25A10,1.3,79.7,EXPRESSED
OSR2,1.3,79.7,EXPRESSED
KCNIP3,1.3,79.7,EXPRESSED
IL11RA,1.3,79.7,EXPRESSED
SIRPG,1.3,79.7,EXPRESSED
RHAG,1.3,79.7,EXPRESSED
KCNMB1,1.3,79.7,EXPRESSED
CEND1,1.29,79.7,EXPRESSED
ENPP3,1.29,79.7,EXPRESSED
SLC9A3,1.29,79.7,EXPRESSED
SPATC1L,1.29,79.7,EXPRESSED
TTC39A,1.29,79.7,EXPRESSED
ASGR2,1.29,79.7,EXPRESSED
LRRC53,1.29,79.7,EXPRESSED
CDRT15,1.29,79.7,EXPRESSED
FZD10,1.28,79.6,EXPRESSED
SLC35E4,1.28,79.6,EXPRESSED
ITGB4,1.28,79.6,EXPRESSED
SLC38A5,1.27,79.6,EXPRESSED
ADGRF4,1.27,79.6,EXPRESSED
RDM1,1.27,79.6,EXPRESSED
FCER2,1.27,79.6,EXPRESSED
GYPB,1.26,79.6,EXPRESSED
LGALS4,1.26,79.6,EXPRESSED
CACNA1H,1.26,79.6,EXPRESSED
GPR179,1.26,79.6,EXPRESSED
TMPRSS6,1.26,79.6,EXPRESSED
SNX14,1.25,79.6,EXPRESSED
ADAM11,1.25,79.6,EXPRESSED
PKMYT1,1.25,79.6,EXPRESSED
UGT2B4,1.25,79.6,EXPRESSED
ADGRE1,1.25,79.6,EXPRESSED
DBH,1.24,79.5,EXPRESSED
HSD11B1L,1.24,79.5,EXPRESSED
HSD11B2,1.24,79.5,EXPRESSED
XAGE3,1.24,79.5,EXPRESSED
FSHR,1.24,79.5,EXPRESSED
SPN,1.24,79.5,EXPRESSED
SIGLEC11,1.23,79.5,EXPRESSED
ADAM7,1.23,79.5,EXPRESSED
ADAM29,1.23,79.5,EXPRESSED
RHBDL1,1.23,79.5,EXPRESSED
ANKRD35,1.22,79.5,EXPRESSED
JPH3,1.22,79.5,EXPRESSED
GJA5,1.22,79.5,EXPRESSED
TMEM236,1.22,79.5,EXPRESSED
TRIM54,1.21,79.5,EXPRESSED
SORCS2,1.21,79.5,EXPRESSED
OR11H4,1.21,79.5,EXPRESSED
PLD5,1.21,79.4,EXPRESSED
S1PR4,1.21,79.4,EXPRESSED
TMEM198,1.21,79.4,EXPRESSED
CFAP54,1.2,79.4,EXPRESSED
OR8A1,1.2,79.4,EXPRESSED
SNORC,1.2,79.4,EXPRESSED
TPTE,1.2,79.4,EXPRESSED
MOGAT1,1.19,79.4,EXPRESSED
SLC51B,1.19,79.4,EXPRESSED
PPP1R9A,1.19,79.4,EXPRESSED
LPAR3,1.19,79.4,EXPRESSED
CATSPERG,1.19,79.4,EXPRESSED
SPATA31D1,1.19,79.4,EXPRESSED
DNAH2,1.19,79.4,EXPRESSED
NT5C1B,1.18,79.4,EXPRESSED
KLRD1,1.18,79.4,EXPRESSED
SPTSSB,1.18,79.4,EXPRESSED
CD40LG,1.18,79.4,EXPRESSED
LYPD3,1.18,79.4,EXPRESSED
ACSM6,1.18,79.4,EXPRESSED
ELN,1.18,79.3,EXPRESSED
KHDC1,1.18,79.3,EXPRESSED
NTRK2,1.17,79.3,EXPRESSED
OR1J4,1.17,79.3,EXPRESSED
ALK,1.17,79.3,EXPRESSED
CHRNA1,1.17,79.3,EXPRESSED
OR2W3,1.17,79.3,EXPRESSED
TMEM121B,1.17,79.3,EXPRESSED
DSCAM,1.17,79.3,EXPRESSED
SDHA,1.16,79.3,EXPRESSED
TEX13C,1.16,79.3,EXPRESSED
OR4C3,1.16,79.3,EXPRESSED
SLITRK3,1.16,79.3,EXPRESSED
CD8B,1.16,79.3,EXPRESSED
GRIN2A,1.16,79.3,EXPRESSED
CD101,1.16,79.3,EXPRESSED
BTLA,1.16,79.3,EXPRESSED
C12orf60,1.16,79.3,EXPRESSED
DNAJC6,1.15,79.3,EXPRESSED
NPIPB9,1.15,79.3,EXPRESSED
GPR174,1.15,79.3,EXPRESSED
