gene_target,cancer_type,nct_id,title,phase,status
MET,Osteosarcoma,NCT06709495,Phase 1/2 Trial to Evaluate the Safety and Efficacy of PEEL-224 in Combination With Vincristine and Temozolomide in Adolescents and Young Adults With Relapsed or Refractory Sarcomas,"PHASE1, PHASE2",RECRUITING
MET,Osteosarcoma,NCT05691478,A Study to Test the Addition of the Drug Cabozantinib to Chemotherapy in Patients With Newly Diagnosed Osteosarcoma,"PHASE2, PHASE3",RECRUITING
MET,Sarcoma,NCT02792270,Caloric Restriction In Sarcoma Patients Treated With Pre-Operative RT,NA,RECRUITING
MET,Sarcoma,NCT06942442,A Phase II Trial of Tebentafusp in HLA-A*02:01 Positive Patients With Advanced Clear Cell Sarcoma,PHASE2,RECRUITING
MET,Sarcoma,NCT07153887,Vebreltinib for Advanced or Metastatic CCS,PHASE2,RECRUITING
IGF1R,Sarcoma,NCT04199026,Implantable Microdevice for the Delivery of Drugs and Their Effect on Tumors in Patients With Metastatic or Recurrent Sarcoma,NA,RECRUITING
CSF1R,Sarcoma,NCT06712810,Q702 for the Treatment of Patients With Hematologic Malignancies,PHASE1,RECRUITING
CSF1R,Sarcoma,NCT04072042,BIOmarker Driven Trial of VEGFR2 Inhibitor in Advanced or Metastatic Sarcoma,PHASE2,RECRUITING
CTNNB1,Osteosarcoma,NCT04851119,"Tegavivint for the Treatment of Recurrent or Refractory Solid Tumors, Including Lymphomas and Desmoid Tumors","PHASE1, PHASE2",RECRUITING
CTNNB1,Sarcoma,NCT07463599,Safety and Efficacy of Tegavivint in Patients With Metastatic Colorectal Carcinoma,"PHASE1, PHASE2",RECRUITING
