gene,score,tier,modalities,mutated,tpm,surface,n_drugs,top_drugs,civic_levels,civic_therapies,cosmic_role,n_trials,driver,evidence_summary
EDNRB,9,A,3,YES,73.1,YES,14,"ENDOTHELIN-1, ENRASENTAN, MACITENTAN",,,,0,,"Mutated (MODERATE) | Overexpressed (73 TPM, p96) | Surface protein (HPA) | Druggable (14 drugs)"
CDKN2A,8,A,4,,0.5,,28,"RIBOCICLIB, PACLITAXEL, ULIXERTINIB","A,B,C,D","Palbociclib, Alvocidib",TSG,4,YES,"Druggable (28 drugs) | CIViC (27 items, levels A,B,C,D) | COSMIC (TSG) | Known Osteosarcoma driver | 4 recruiting trial(s)"
TP53,8,A,4,,40.2,,364,"VEMURAFENIB, CHK1 INHIBITOR GDC-0575, FENTICLOR","B,D,E","Carboplatin, Cisplatin, Tamoxifen","oncogene, TSG, fusion",6,YES,"Expressed (40 TPM) | Druggable (364 drugs) | CIViC (52 items, levels B,D,E) | COSMIC (oncogene, TSG, fusion) | Known Osteosarcoma driver | 6 recruiting trial(s)"
ABI1,8,A,3,,219.8,YES,4,"DASATINIB ANHYDROUS, IMATINIB, NILOTINIB",,,"TSG, fusion",0,,"Overexpressed (220 TPM, p99) | Surface protein (HPA) | Druggable (4 drugs) | COSMIC (TSG, fusion)"
CD276,8,A,3,,194.8,YES,5,"ENOBLITUZUMAB, 8H9 131I, OMBURTAMAB I-131",,,,1,,"Overexpressed (195 TPM, p99) | Surface protein (HPA) | Druggable (5 drugs) | 1 recruiting trial(s)"
CD74,8,A,3,,960.6,YES,5,"DIOA, MILATUZUMAB, VU0240551",,,"oncogene, fusion",0,,"Overexpressed (961 TPM, p100) | Surface protein (HPA) | Druggable (5 drugs) | COSMIC (oncogene, fusion)"
CTNNA1,8,A,3,,166.5,YES,13,"EDAXETERKIB, RAVOXERTINIB, SCH772984",,,"TSG, fusion",0,,"Overexpressed (167 TPM, p98) | Surface protein (HPA) | Druggable (13 drugs) | COSMIC (TSG, fusion)"
DDX6,8,A,3,,225.3,YES,1,INCB3619,,,"oncogene, fusion",0,,"Overexpressed (225 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs) | COSMIC (oncogene, fusion)"
EZR,8,A,3,,303.0,YES,2,"RO 31-8220, TNF-ALPHA",,,fusion,0,,"Overexpressed (303 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs) | COSMIC (fusion)"
FAT1,8,A,3,,1268.5,YES,1,CAPECITABINE,,,TSG,0,,"Overexpressed (1268 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs) | COSMIC (TSG)"
FLNA,8,A,3,,413.0,YES,2,"SIMUFILAM, SIMUFILAM",,,,0,,"Overexpressed (413 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs) | COSMIC (nan)"
HNRNPA2B1,8,A,3,,552.8,YES,5,"LOBELINE, STM2457, STC-15",,,"oncogene, fusion",0,,"Overexpressed (553 TPM, p100) | Surface protein (HPA) | Druggable (5 drugs) | COSMIC (oncogene, fusion)"
HSP90AB1,8,A,3,,1876.1,YES,43,"SILIBININ, NOVOBIOCIN, TANESPIMYCIN",,,fusion,0,,"Overexpressed (1876 TPM, p100) | Surface protein (HPA) | Druggable (43 drugs) | COSMIC (fusion)"
IFNGR1,8,A,3,,252.2,YES,2,"INTERFERON GAMMA-1B, INDOLE-3-CARBINOL",D,Ipilimumab,,0,,"Overexpressed (252 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs) | CIViC (1 items, levels D)"
IL6ST,8,A,3,,618.7,YES,3,"BAZEDOXIFENE, RALOXIFENE HYDROCHLORIDE, SATRALIZUMAB",,,oncogene,0,,"Overexpressed (619 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs) | COSMIC (oncogene)"
ITGB1,8,A,3,,722.0,YES,12,"VOLOCIXIMAB, NATALIZUMAB, FIRATEGRAST",,,,0,,"Overexpressed (722 TPM, p100) | Surface protein (HPA) | Druggable (12 drugs) | COSMIC (nan)"
LIFR,8,A,3,,826.8,YES,1,EMFILERMIN,,,fusion,0,,"Overexpressed (827 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs) | COSMIC (fusion)"
MERTK,8,A,3,,337.0,YES,5,"HESPERADIN, NINGETINIB, TAMNORZATINIB",D,UNC1062,,0,,"Overexpressed (337 TPM, p99) | Surface protein (HPA) | Druggable (5 drugs) | CIViC (1 items, levels D)"
NCOA1,8,A,3,,158.8,YES,3,"TAMOXIFEN, METHYLENE BLUE ANHYDROUS, ETOPOSIDE",,,fusion,0,,"Overexpressed (159 TPM, p98) | Surface protein (HPA) | Druggable (3 drugs) | COSMIC (fusion)"
NOTCH2,8,A,3,,289.1,YES,7,"TAREXTUMAB, NOTCH SIGNALING PATHWAY INHIBITOR MK0752, MK-0752",,,"oncogene, TSG",0,,"Overexpressed (289 TPM, p99) | Surface protein (HPA) | Druggable (7 drugs) | COSMIC (oncogene, TSG)"
PTPN13,8,A,3,,207.1,YES,1,ANTIESTROGEN,,,TSG,0,,"Overexpressed (207 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs) | COSMIC (TSG)"
RNF213,8,A,3,YES,98.7,YES,0,,,,fusion,0,,"Mutated (MODERATE) | Overexpressed (99 TPM, p97) | Surface protein (HPA) | COSMIC (fusion)"
TGFBR1,8,A,3,,534.6,YES,7,"4-(3-PYRIDIN-2-YL-1H-PYRAZOL-4-YL)QUINOLINE, VACTOSERTIB, LY-2382770",,,,0,,"Overexpressed (535 TPM, p100) | Surface protein (HPA) | Druggable (7 drugs) | COSMIC (nan)"
TGFBR2,8,A,3,,604.8,YES,2,"IRINOTECAN HYDROCHLORIDE, HESPERETIN",,,TSG,0,,"Overexpressed (605 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs) | COSMIC (TSG)"
XPC,8,A,3,,186.1,YES,1,DOXORUBICIN HYDROCHLORIDE,,,TSG,0,,"Overexpressed (186 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs) | COSMIC (TSG)"
CKAP4,8,B,2,YES,304.5,YES,0,,,,,0,,"Mutated (HIGH) | Overexpressed (304 TPM, p99) | Surface protein (HPA)"
PIP5K1A,8,B,2,YES,106.4,YES,0,,,,,0,,"Mutated (HIGH) | Overexpressed (106 TPM, p97) | Surface protein (HPA)"
SUCO,8,B,2,YES,122.5,YES,0,,,,,0,,"Mutated (HIGH) | Overexpressed (122 TPM, p98) | Surface protein (HPA)"
MYC,7,A,4,,89.5,,70,"UBENIMEX, DIETHYLSTILBESTROL, METHYLPREDNISOLONE",D,"Prexasertib, Olaparib, Cisplatin, JQ-1","oncogene, fusion",0,YES,"Overexpressed (90 TPM, p97) | Druggable (70 drugs) | CIViC (2 items, levels D) | COSMIC (oncogene, fusion) | Known Osteosarcoma driver"
ABCA1,7,B,2,,355.3,YES,104,"MRS1066, PBF-509, CYCLOSPORINE",,,,0,,"Overexpressed (355 TPM, p100) | Surface protein (HPA) | Druggable (104 drugs)"
ADAM10,7,B,2,,267.1,YES,16,"GI254023X, MARIMASTAT, ILOMASTAT",,,,0,,"Overexpressed (267 TPM, p99) | Surface protein (HPA) | Druggable (16 drugs)"
ADAM17,7,B,2,,181.7,YES,5,"APRATASTAT, MARIMASTAT, INFLIXIMAB",,,,0,,"Overexpressed (182 TPM, p99) | Surface protein (HPA) | Druggable (5 drugs)"
ADD3,7,B,2,,204.6,YES,20,"3-HYDROXY CAPRIC ACID, 3-HYDROXYLAURIC ACID, DL-175",,,,0,,"Overexpressed (205 TPM, p99) | Surface protein (HPA) | Druggable (20 drugs)"
ANXA1,7,B,2,,348.8,YES,44,"METHYLPREDNISOLONE, EFWSLAAPQRF-NH2, BIBP3226",,,,0,,"Overexpressed (349 TPM, p100) | Surface protein (HPA) | Druggable (44 drugs)"
APLP2,7,B,2,,531.0,YES,20,"2-O-ETHYL-PAF C-16, SDZ 64-412, ENANTIO PAF C-16",,,,0,,"Overexpressed (531 TPM, p100) | Surface protein (HPA) | Druggable (20 drugs)"
APOD,7,B,2,,183.8,YES,8,"RWJ-56110, F16357, TFLLR-NH2",,,,0,,"Overexpressed (184 TPM, p99) | Surface protein (HPA) | Druggable (8 drugs)"
APP,7,B,2,,548.2,YES,64,"VALILTRAMIPROSATE, CLIOQUINOL, PROPOFOL",,,,0,,"Overexpressed (548 TPM, p100) | Surface protein (HPA) | Druggable (64 drugs)"
APPL1,7,B,2,,182.7,YES,23,"EUROPIUM-LABELLED INSL3, (DES 1-8) A-CHAIN INSL3 ANALOGUE, NANOLUC-INSL3",,,,0,,"Overexpressed (183 TPM, p99) | Surface protein (HPA) | Druggable (23 drugs)"
ARF1,7,B,2,,213.2,YES,3,"GEFITINIB, AFATINIB, ERLOTINIB",,,,0,,"Overexpressed (213 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)"
ARHGEF11,7,B,2,YES,76.7,YES,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (77 TPM, p96) | Surface protein (HPA)"
ARID5B,7,B,2,,268.9,YES,3,"HALOPERIDOL DECANOATE, GLUCARPIDASE, IMATINIB",,,,0,,"Overexpressed (269 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)"
ASPH,7,B,2,,196.9,YES,21,"WARFARIN, LY404187, [3H]AMPA",,,,0,,"Overexpressed (197 TPM, p99) | Surface protein (HPA) | Druggable (21 drugs)"
ATP2B1,7,B,2,,601.5,YES,32,"METHYLPREDNISOLONE, CHLORPROMAZINE, DAIDZEIN",,,,0,,"Overexpressed (602 TPM, p100) | Surface protein (HPA) | Druggable (32 drugs)"
BMPR2,7,B,2,,168.2,YES,6,"L-TRP-TRP-TRP, L-PHE-PHE-PHE, EPTOTERMIN ALFA",,,,0,,"Overexpressed (168 TPM, p98) | Surface protein (HPA) | Druggable (6 drugs)"
BNIP3L,7,B,2,,1049.8,YES,3,"OFLOXACIN, PIRENZEPINE, PROCAINAMIDE",,,,0,,"Overexpressed (1050 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs)"
BST2,7,B,2,,204.7,YES,19,"ZN2+, PB2+, ETHYLISOPROPYLAMILORIDE",,,,0,,"Overexpressed (205 TPM, p99) | Surface protein (HPA) | Druggable (19 drugs)"
CALU,7,B,2,,607.5,YES,1,ACENOCOUMAROL,,,,0,,"Overexpressed (608 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)"
CAMK2D,7,B,2,,385.4,YES,14,"SNS-314, GEFITINIB, ILORASERTIB",,,,0,,"Overexpressed (385 TPM, p100) | Surface protein (HPA) | Druggable (14 drugs)"
CANX,7,B,2,,585.6,YES,1,LERIDISTIM,,,,0,,"Overexpressed (586 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)"
CCT3,7,B,2,,213.4,YES,2,"BEVACIZUMAB, RANIBIZUMAB",,,,0,,"Overexpressed (213 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)"
CD109,7,B,2,YES,204.4,YES,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (204 TPM, p99) | Surface protein (HPA)"
CD163,7,B,2,,1232.2,YES,2,"THERAPEUTIC GLUCOCORTICOID, FLUTICASONE",,,,0,,"Overexpressed (1232 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)"
CD47,7,B,2,,186.5,YES,9,"MAGROLIMAB, THROMBOSPONDIN 1, ANTI-CD47 MONOCLONAL ANTIBODY CC-90002",,,,0,,"Overexpressed (186 TPM, p99) | Surface protein (HPA) | Druggable (9 drugs)"
CD63,7,B,2,,1251.2,YES,2,"COMPOUND 6B [PMID: 22749870], NONSTEROIDAL ANTIINFLAMMATORY DRUG",,,,0,,"Overexpressed (1251 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)"
CD9,7,B,2,,206.3,YES,44,"DESIPRAMINE, MILNACIPRAN, PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",,,,0,,"Overexpressed (206 TPM, p99) | Surface protein (HPA) | Druggable (44 drugs)"
CDC42BPA,7,B,2,,165.6,YES,11,"PF-562271, ALSTERPAULLONE, LAUROGUADINE",,,,0,,"Overexpressed (166 TPM, p98) | Surface protein (HPA) | Druggable (11 drugs)"
CERS6,7,B,2,,211.3,YES,4,"CERTOLIZUMAB PEGOL, INFLIXIMAB, ADALIMUMAB",,,,0,,"Overexpressed (211 TPM, p99) | Surface protein (HPA) | Druggable (4 drugs)"
CLK1,7,B,2,,237.2,YES,4,"HARMINE, LEUCETTAMINE B, CDC2-LIKE KINASE INHIBITOR",,,,0,,"Overexpressed (237 TPM, p99) | Surface protein (HPA) | Druggable (4 drugs)"
CMPK1,7,B,2,,358.0,YES,1,LAMIVUDINE,,,,0,,"Overexpressed (358 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)"
COL6A2,7,B,2,,184.8,YES,3,"COLLAGENASE CLOSTRIDIUM HISTOLYTICUM, OCRIPLASMIN, ESI-09",,,,0,,"Overexpressed (185 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)"
CPD,7,B,2,,170.0,YES,11,"ENDOXIFEN, ANASTROZOLE, EXEMESTANE",,,,0,,"Overexpressed (170 TPM, p98) | Surface protein (HPA) | Druggable (11 drugs)"
CSPG4,7,B,2,,181.3,YES,5,"LEUCOVORIN CALCIUM, ALTEPLASE, IRINOTECAN HYDROCHLORIDE",,,,0,,"Overexpressed (181 TPM, p99) | Surface protein (HPA) | Druggable (5 drugs)"
CTSK,7,B,2,,185.6,YES,7,"MIV-701, RELACATIB, ONO-5334",,,,0,,"Overexpressed (186 TPM, p99) | Surface protein (HPA) | Druggable (7 drugs)"
CYBB,7,B,2,,230.9,YES,5,"COMPOUND 14N [PMID: 25589934], APIGENIN, SANOFI-14H",,,,0,,"Overexpressed (231 TPM, p99) | Surface protein (HPA) | Druggable (5 drugs)"
DIAPH1,7,B,2,YES,83.4,YES,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (83 TPM, p96) | Surface protein (HPA)"
DPYSL2,7,B,2,,196.3,YES,40,"LACOSAMIDE, DERAZANTINIB, COMPOUND 29 [PMID: 36356320]",,,,0,,"Overexpressed (196 TPM, p99) | Surface protein (HPA) | Druggable (40 drugs)"
DYRK2,7,B,2,,335.2,YES,2,"HARMINE, LEUCETTAMINE B",,,,0,,"Overexpressed (335 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)"
EDNRA,7,B,2,,514.2,YES,23,"NEBENTAN, ATRASENTAN, TBC-3711",,,,0,,"Overexpressed (514 TPM, p100) | Surface protein (HPA) | Druggable (23 drugs)"
EEF2,7,B,2,,3325.9,YES,18,"LMB-100, CYCLOHEXIMIDE, BI-847325",,,,0,,"Overexpressed (3326 TPM, p100) | Surface protein (HPA) | Druggable (18 drugs)"
EFR3A,7,B,2,,350.6,YES,2,"ASPIRIN, CLOPIDOGREL",,,,0,,"Overexpressed (351 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)"
EIF4B,7,B,2,,428.2,YES,2,"RGB-286638, ZOTIRACICLIB",,,,0,,"Overexpressed (428 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)"
EIF5,7,B,2,,252.0,YES,1,URMC-099,,,,0,,"Overexpressed (252 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)"
EMP1,7,B,2,,176.6,YES,5,"COMPOUND 20 [PMID: 30998356], COMPOUND 1A [PMID: 24900749], GEFITINIB",,,,0,,"Overexpressed (177 TPM, p99) | Surface protein (HPA) | Druggable (5 drugs)"
ENO1,7,B,2,,272.1,YES,3,"LORLATINIB, COMPOUND 8E [PMID: 24432909], COMPOUND 25B [PMID: 22564207]",,,,0,,"Overexpressed (272 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)"
ENPEP,7,B,2,,195.5,YES,4,"FIRIBASTAT, QGC-001, SGI-1776",,,,0,,"Overexpressed (196 TPM, p99) | Surface protein (HPA) | Druggable (4 drugs)"
EPB41L2,7,B,2,,607.3,YES,1,HSL119,,,,0,,"Overexpressed (607 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)"
EPS8,7,B,2,,171.8,YES,21,"PF-06447475, GSK2646264, URMC-099",,,,0,,"Overexpressed (172 TPM, p99) | Surface protein (HPA) | Druggable (21 drugs)"
ESYT2,7,B,2,,381.7,YES,1,METHYLPHENIDATE HYDROCHLORIDE,,,,0,,"Overexpressed (382 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)"
FBN1,7,B,2,,372.6,YES,2,"RN486, DANUSERTIB",,,,0,,"Overexpressed (373 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)"
GALNT3,7,B,2,,244.7,YES,2,"GSK-264220A, COMPOUND 12 [PMID: 31990537]",,,,0,,"Overexpressed (245 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)"
GANAB,7,B,2,,191.4,YES,1,MIGLUSTAT,,,,0,,"Overexpressed (191 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)"
GDI2,7,B,2,,564.3,YES,1,PF-9363,,,,0,,"Overexpressed (564 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)"
GJA1,7,B,2,,991.1,YES,11,"SELENIUM, CARVEDILOL, PROPYLTHIOURACIL",,,,0,,"Overexpressed (991 TPM, p100) | Surface protein (HPA) | Druggable (11 drugs)"
GLG1,7,B,2,,282.0,YES,9,"CBPD-409, TTK21, COMPOUND 50 [PMID: 24313754]",,,,0,,"Overexpressed (282 TPM, p99) | Surface protein (HPA) | Druggable (9 drugs)"
GLO1,7,B,2,,640.5,YES,6,"N-METHYLFORMAMIDE, SMD-3040, GNE-235",,,,0,,"Overexpressed (641 TPM, p100) | Surface protein (HPA) | Druggable (6 drugs)"
GPNMB,7,B,2,,707.2,YES,2,"GLEMBATUMUMAB, GLEMBATUMUMAB VEDOTIN",,,,0,,"Overexpressed (707 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)"
GPR34,7,B,2,,362.6,YES,3,"AMG28, APILIMOD, COMPOUND 17 [PMID: 36111834]",,,,0,,"Overexpressed (363 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs)"
GUSB,7,B,2,,210.0,YES,2,"RITONAVIR, VESTRONIDASE ALFA",,,,0,,"Overexpressed (210 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)"
HEXB,7,B,2,,484.2,YES,9,"CORTISONE, GENTAMICIN, THYROXINE",,,,0,,"Overexpressed (484 TPM, p100) | Surface protein (HPA) | Druggable (9 drugs)"
HIPK2,7,B,2,,224.0,YES,15,"ILORASERTIB, BAY 61-3606, TAMATINIB",,,,0,,"Overexpressed (224 TPM, p99) | Surface protein (HPA) | Druggable (15 drugs)"
HLA-E,7,B,2,,348.0,YES,6,"ETANERCEPT, CEDAZURIDINE, METHOTREXATE",,,,0,,"Overexpressed (348 TPM, p100) | Surface protein (HPA) | Druggable (6 drugs)"
HSP90B1,7,B,2,,241.3,YES,1,VIAGENPUMATUCEL-L,,,,0,,"Overexpressed (241 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)"
HSPA1A,7,B,2,,3420.0,YES,4,"CD24FC, CARBAMAZEPINE, AG-858",,,,0,,"Overexpressed (3420 TPM, p100) | Surface protein (HPA) | Druggable (4 drugs)"
HTRA1,7,B,2,,515.9,YES,2,"GALEGENIMAB, HYDROGEN PEROXIDE",,,,0,,"Overexpressed (516 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)"
IGF2R,7,B,2,,182.5,YES,2,"MANNOSE 6-PHOSPHATE, ALBUTEROL SULFATE",,,,0,,"Overexpressed (182 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)"
