gene,score,tier,modalities,mutated,tpm,surface,n_drugs,top_drugs,civic_levels,civic_therapies,cosmic_role,n_trials,driver,evidence_summary,tissue_specificity,housekeeping
PGK1,2,D,1,,348.2,,0,,,,,0,,"Overexpressed (348 TPM, p100)",Low tissue specificity,True
PHF3,2,D,1,,189.8,,0,,,,,0,,"Overexpressed (190 TPM, p99)",Low tissue specificity,True
PHLDA1,2,D,1,,171.7,,0,,,,,0,,"Overexpressed (172 TPM, p99)",Tissue enhanced,False
PICALM,2,D,1,,775.2,,0,,,,,0,,"Overexpressed (775 TPM, p100)",Low tissue specificity,True
PIK3C2A,2,D,1,,241.3,,0,,,,,0,,"Overexpressed (241 TPM, p99)",Low tissue specificity,True
PIK3R1,2,D,1,,286.6,,0,,,,,0,,"Overexpressed (287 TPM, p99)",Low tissue specificity,True
PIKFYVE,2,D,1,,176.1,,0,,,,,0,,"Overexpressed (176 TPM, p99)",Low tissue specificity,True
PITPNB,2,D,1,,207.6,,0,,,,,0,,"Overexpressed (208 TPM, p99)",Low tissue specificity,True
PJA2,2,D,1,,989.5,,0,,,,,0,,"Overexpressed (989 TPM, p100)",Low tissue specificity,True
PLEC,2,D,1,,346.3,,0,,,,,0,,"Overexpressed (346 TPM, p100)",Tissue enhanced,False
PLEKHF2,2,D,1,,178.8,,0,,,,,0,,"Overexpressed (179 TPM, p99)",Tissue enhanced,False
PLK2,2,D,1,,168.6,,0,,,,,0,,"Overexpressed (169 TPM, p98)",Low tissue specificity,True
PNN,2,D,1,,241.3,,0,,,,,0,,"Overexpressed (241 TPM, p99)",Low tissue specificity,True
PNRC1,2,D,1,,669.7,,0,,,,,0,,"Overexpressed (670 TPM, p100)",Low tissue specificity,True
POLR2A,2,D,1,,236.8,,0,,,,,0,,"Overexpressed (237 TPM, p99)",Tissue enhanced,False
POLR2B,2,D,1,,280.1,,0,,,,,0,,"Overexpressed (280 TPM, p99)",Low tissue specificity,True
POSTN,2,D,1,,227.4,,0,,,,,0,,"Overexpressed (227 TPM, p99)",Tissue enhanced,False
POTEF,2,D,1,,163.6,,0,,,,,0,,"Overexpressed (164 TPM, p98)",Tissue enriched,False
PPIA,2,D,1,,596.7,,0,,,,,0,,"Overexpressed (597 TPM, p100)",Low tissue specificity,True
PPIAP22,2,D,1,,508.6,,0,,,,,0,,"Overexpressed (509 TPM, p100)",,False
PPIB,2,D,1,,221.8,,0,,,,,0,,"Overexpressed (222 TPM, p99)",Low tissue specificity,True
PPIL4,2,D,1,,341.4,,0,,,,,0,,"Overexpressed (341 TPM, p99)",Low tissue specificity,True
PPM1G,2,D,1,,203.7,,0,,,,,0,,"Overexpressed (204 TPM, p99)",Tissue enhanced,False
PPP1CB,2,D,1,,1216.6,,0,,,,,0,,"Overexpressed (1217 TPM, p100)",Low tissue specificity,True
PPP1CC,2,D,1,,169.6,,0,,,,,0,,"Overexpressed (170 TPM, p98)",Low tissue specificity,True
PPP3CA,2,D,1,,354.9,,0,,,,,0,,"Overexpressed (355 TPM, p100)",Tissue enhanced,False
PPP4R3A,2,D,1,,166.2,,0,,,,,0,,"Overexpressed (166 TPM, p98)",Low tissue specificity,True
PPP4R3B,2,D,1,,196.5,,0,,,,,0,,"Overexpressed (197 TPM, p99)",Low tissue specificity,True
PPWD1,2,D,1,,190.4,,0,,,,,0,,"Overexpressed (190 TPM, p99)",Low tissue specificity,True
PRDM5,2,D,1,,168.9,,0,,,,,0,,"Overexpressed (169 TPM, p98)",Low tissue specificity,False
PRDM9,2,D,1,YES,0.2,,0,,,,,0,,Mutated (MODERATE),Group enriched,False
PRICKLE2,2,D,1,YES,4.6,,0,,,,,0,,Mutated (MODERATE) | Expressed (5 TPM),Low tissue specificity,False
PRKAA1,2,D,1,,174.2,,0,,,,,0,,"Overexpressed (174 TPM, p99)",Low tissue specificity,True
PRKAR1A,2,D,1,,178.5,,0,,,,,0,,"Overexpressed (178 TPM, p99)",Low tissue specificity,True
PRKDC,2,D,1,,160.3,,0,,,,,0,,"Overexpressed (160 TPM, p98)",Low tissue specificity,True
PRP4K,2,D,1,,221.1,,0,,,,,0,,"Overexpressed (221 TPM, p99)",,False
PRPF6,2,D,1,,181.1,,0,,,,,0,,"Overexpressed (181 TPM, p99)",Low tissue specificity,True
PRPF8,2,D,1,,176.2,,0,,,,,0,,"Overexpressed (176 TPM, p99)",Low tissue specificity,True
PRR14L,2,D,1,,157.8,,0,,,,,0,,"Overexpressed (158 TPM, p98)",Low tissue specificity,True
PRRC2C,2,D,1,,448.1,,0,,,,,0,,"Overexpressed (448 TPM, p100)",Low tissue specificity,True
PRRX1,2,D,1,,357.5,,0,,,,,0,,"Overexpressed (358 TPM, p100)",Low tissue specificity,False
PSIP1,2,D,1,,212.9,,0,,,,,0,,"Overexpressed (213 TPM, p99)",Low tissue specificity,True
PSMA3,2,D,1,,171.4,,0,,,,,0,,"Overexpressed (171 TPM, p98)",Low tissue specificity,True
PSMA7,2,D,1,,184.0,,0,,,,,0,,"Overexpressed (184 TPM, p99)",Tissue enhanced,False
PSMB1,2,D,1,,197.1,,0,,,,,0,,"Overexpressed (197 TPM, p99)",Low tissue specificity,True
PSMB4,2,D,1,,215.4,,0,,,,,0,,"Overexpressed (215 TPM, p99)",Low tissue specificity,True
PSMB7,2,D,1,,248.9,,0,,,,,0,,"Overexpressed (249 TPM, p99)",Low tissue specificity,True
PSMD12,2,D,1,,176.7,,0,,,,,0,,"Overexpressed (177 TPM, p99)",Low tissue specificity,True
PSME4,2,D,1,,190.7,,0,,,,,0,,"Overexpressed (191 TPM, p99)",Tissue enhanced,False
PTBP3,2,D,1,,378.9,,0,,,,,0,,"Overexpressed (379 TPM, p100)",Low tissue specificity,True
PTN,2,D,1,,195.1,,0,,,,,0,,"Overexpressed (195 TPM, p99)",Tissue enhanced,False
PUM2,2,D,1,,533.9,,0,,,,,0,,"Overexpressed (534 TPM, p100)",Low tissue specificity,True
PUM3,2,D,1,,165.7,,0,,,,,0,,"Overexpressed (166 TPM, p98)",Low tissue specificity,True
QKI,2,D,1,,216.0,,0,,,,,0,,"Overexpressed (216 TPM, p99)",Tissue enhanced,False
QSER1,2,D,1,,162.8,,0,,,,,0,,"Overexpressed (163 TPM, p98)",Low tissue specificity,False
RAB10,2,D,1,,273.7,,0,,,,,0,,"Overexpressed (274 TPM, p99)",Low tissue specificity,True
RAB14,2,D,1,,316.2,,0,,,,,0,,"Overexpressed (316 TPM, p99)",Low tissue specificity,True
RAB1A,2,D,1,,377.8,,0,,,,,0,,"Overexpressed (378 TPM, p100)",Low tissue specificity,True
RAB2A,2,D,1,,256.8,,0,,,,,0,,"Overexpressed (257 TPM, p99)",Low tissue specificity,True
RAB31,2,D,1,,578.9,,0,,,,,0,,"Overexpressed (579 TPM, p100)",Low tissue specificity,True
RAB5A,2,D,1,,228.5,,0,,,,,0,,"Overexpressed (228 TPM, p99)",Low tissue specificity,True
RAB5B,2,D,1,,166.4,,0,,,,,0,,"Overexpressed (166 TPM, p98)",Low tissue specificity,True
RACK1,2,D,1,,568.5,,0,,,,,0,,"Overexpressed (569 TPM, p100)",Low tissue specificity,True
RAD21,2,D,1,,205.6,,0,,,,,0,,"Overexpressed (206 TPM, p99)",Low tissue specificity,True
RAD23B,2,D,1,,611.5,,0,,,,,0,,"Overexpressed (611 TPM, p100)",Low tissue specificity,True
RAI14,2,D,1,,159.8,,0,,,,,0,,"Overexpressed (160 TPM, p98)",Low tissue specificity,True
RAN,2,D,1,,218.6,,0,,,,,0,,"Overexpressed (219 TPM, p99)",Low tissue specificity,True
RANBP2,2,D,1,,190.3,,0,,,,,0,,"Overexpressed (190 TPM, p99)",Low tissue specificity,True
RANBP3L,2,D,1,,201.5,,0,,,,,0,,"Overexpressed (202 TPM, p99)",Tissue enhanced,False
RANBP9,2,D,1,,438.7,,0,,,,,0,,"Overexpressed (439 TPM, p100)",Low tissue specificity,True
RAP2A,2,D,1,,180.6,,0,,,,,0,,"Overexpressed (181 TPM, p99)",Low tissue specificity,True
