gene,score,tier,modalities,mutated,tpm,surface,n_drugs,top_drugs,civic_levels,civic_therapies,cosmic_role,n_trials,driver,evidence_summary,tissue_specificity,housekeeping
SF1,2,D,1,,239.1,,0,,,,,0,,"Overexpressed (239 TPM, p99)",Low tissue specificity,True
SF3B6,2,D,1,,554.1,,0,,,,,0,,"Overexpressed (554 TPM, p100)",Low tissue specificity,True
SFPQ,2,D,1,,376.4,,0,,,,,0,,"Overexpressed (376 TPM, p100)",Low tissue specificity,True
SH3BGRL,2,D,1,,285.5,,0,,,,,0,,"Overexpressed (286 TPM, p99)",Low tissue specificity,True
SH3D19,2,D,1,,271.6,,0,,,,,0,,"Overexpressed (272 TPM, p99)",Low tissue specificity,False
SHC4,2,D,1,YES,2.9,,0,,,,,0,,Mutated (MODERATE) | Expressed (3 TPM),Tissue enhanced,False
SKIL,2,D,1,,480.9,,0,,,,,0,,"Overexpressed (481 TPM, p100)",Low tissue specificity,True
SLAIN2,2,D,1,,173.7,,0,,,,,0,,"Overexpressed (174 TPM, p99)",Low tissue specificity,True
SLBP,2,D,1,,168.0,,0,,,,,0,,"Overexpressed (168 TPM, p98)",Low tissue specificity,True
SLTM,2,D,1,,266.5,,0,,,,,0,,"Overexpressed (266 TPM, p99)",Low tissue specificity,True
SLU7,2,D,1,,189.4,,0,,,,,0,,"Overexpressed (189 TPM, p99)",Low tissue specificity,True
SMAD3,2,D,1,,251.3,,0,,,,,0,,"Overexpressed (251 TPM, p99)",Low tissue specificity,True
SMAP2,2,D,1,,202.6,,0,,,,,0,,"Overexpressed (203 TPM, p99)",Tissue enhanced,False
SMARCA5,2,D,1,,235.2,,0,,,,,0,,"Overexpressed (235 TPM, p99)",Low tissue specificity,True
SMARCC1,2,D,1,,219.1,,0,,,,,0,,"Overexpressed (219 TPM, p99)",Low tissue specificity,True
SMARCC2,2,D,1,,264.3,,0,,,,,0,,"Overexpressed (264 TPM, p99)",Low tissue specificity,True
SMC1A,2,D,1,,414.7,,0,,,,,0,,"Overexpressed (415 TPM, p100)",Low tissue specificity,True
SMIM15,2,D,1,,194.1,,0,,,,,0,,"Overexpressed (194 TPM, p99)",Low tissue specificity,True
SNAI2,2,D,1,,494.3,,0,,,,,0,,"Overexpressed (494 TPM, p100)",Low tissue specificity,False
SND1,2,D,1,,253.7,,0,,,,,0,,"Overexpressed (254 TPM, p99)",Low tissue specificity,True
SNHG32,2,D,1,,378.6,,0,,,,,0,,"Overexpressed (379 TPM, p100)",,False
SNRNP200,2,D,1,,314.2,,0,,,,,0,,"Overexpressed (314 TPM, p99)",Low tissue specificity,True
SNRPC,2,D,1,,224.4,,0,,,,,0,,"Overexpressed (224 TPM, p99)",Low tissue specificity,True
SNW1,2,D,1,,439.4,,0,,,,,0,,"Overexpressed (439 TPM, p100)",Low tissue specificity,True
SNX18,2,D,1,,160.3,,0,,,,,0,,"Overexpressed (160 TPM, p98)",Tissue enhanced,False
SNX3,2,D,1,,777.8,,0,,,,,0,,"Overexpressed (778 TPM, p100)",Low tissue specificity,True
SNX4,2,D,1,,168.0,,0,,,,,0,,"Overexpressed (168 TPM, p98)",Low tissue specificity,True
SNX6,2,D,1,,169.7,,0,,,,,0,,"Overexpressed (170 TPM, p98)",Low tissue specificity,True
SNX7,2,D,1,,189.7,,0,,,,,0,,"Overexpressed (190 TPM, p99)",Low tissue specificity,False
SOD1,2,D,1,,266.8,,0,,,,,0,,"Overexpressed (267 TPM, p99)",Tissue enhanced,False
SON,2,D,1,,246.3,,0,,,,,0,,"Overexpressed (246 TPM, p99)",Low tissue specificity,True
SOX4,2,D,1,,420.2,,0,,,,,0,,"Overexpressed (420 TPM, p100)",Tissue enhanced,False
SP1,2,D,1,,257.9,,0,,,,,0,,"Overexpressed (258 TPM, p99)",Low tissue specificity,True
SP7,2,D,1,,458.0,,0,,,,,0,,"Overexpressed (458 TPM, p100)",Not detected,False
SPARC,2,D,1,,6859.3,,0,,,,,0,,"Overexpressed (6859 TPM, p100)",Low tissue specificity,True
SPARCL1,2,D,1,,822.6,,0,,,,,0,,"Overexpressed (823 TPM, p100)",Low tissue specificity,False
SPATA31F1,2,D,1,YES,1.0,,0,,,,,0,,Mutated (MODERATE),,False
SPEN,2,D,1,,221.6,,0,,,,,0,,"Overexpressed (222 TPM, p99)",Low tissue specificity,True
SPIN1,2,D,1,,288.3,,0,,,,,0,,"Overexpressed (288 TPM, p99)",Low tissue specificity,True
SPP1,2,D,1,,544.2,,0,,,,,0,,"Overexpressed (544 TPM, p100)",Tissue enhanced,False
SPTBN1,2,D,1,,206.4,,0,,,,,0,,"Overexpressed (206 TPM, p99)",Low tissue specificity,True
SRBD1,2,D,1,,171.4,,0,,,,,0,,"Overexpressed (171 TPM, p98)",Low tissue specificity,True
SRGN,2,D,1,,221.7,,0,,,,,0,,"Overexpressed (222 TPM, p99)",Tissue enriched,False
SRP14,2,D,1,,183.5,,0,,,,,0,,"Overexpressed (183 TPM, p99)",Low tissue specificity,True
SRP72,2,D,1,,235.9,,0,,,,,0,,"Overexpressed (236 TPM, p99)",Low tissue specificity,True
SRPK2,2,D,1,,163.1,,0,,,,,0,,"Overexpressed (163 TPM, p98)",Tissue enhanced,False
SRPRA,2,D,1,,274.7,,0,,,,,0,,"Overexpressed (275 TPM, p99)",Low tissue specificity,True
SRRM2,2,D,1,,509.6,,0,,,,,0,,"Overexpressed (510 TPM, p100)",Low tissue specificity,True
SRSF3,2,D,1,,191.5,,0,,,,,0,,"Overexpressed (191 TPM, p99)",Low tissue specificity,True
SRSF5,2,D,1,,561.2,,0,,,,,0,,"Overexpressed (561 TPM, p100)",Low tissue specificity,True
SRSF6,2,D,1,,280.4,,0,,,,,0,,"Overexpressed (280 TPM, p99)",Low tissue specificity,True
SS18,2,D,1,,306.1,,0,,,,,0,,"Overexpressed (306 TPM, p99)",Low tissue specificity,True
SSX1,2,D,1,,162.1,,0,,,,,0,,"Overexpressed (162 TPM, p98)",Tissue enriched,False
ST13,2,D,1,,160.6,,0,,,,,0,,"Overexpressed (161 TPM, p98)",Low tissue specificity,True
STAU1,2,D,1,,235.9,,0,,,,,0,,"Overexpressed (236 TPM, p99)",Low tissue specificity,True
STK38,2,D,1,,250.4,,0,,,,,0,,"Overexpressed (250 TPM, p99)",Low tissue specificity,True
STRAP,2,D,1,,574.2,,0,,,,,0,,"Overexpressed (574 TPM, p100)",Low tissue specificity,True
STYXL2,2,D,1,YES,3.1,,0,,,,,0,,Mutated (MODERATE) | Expressed (3 TPM),Group enriched,False
SUPT16H,2,D,1,,179.5,,0,,,,,0,,"Overexpressed (179 TPM, p99)",Low tissue specificity,True
SUPT7L,2,D,1,,182.4,,0,,,,,0,,"Overexpressed (182 TPM, p99)",Low tissue specificity,True
SYDE2,2,D,1,,172.9,,0,,,,,0,,"Overexpressed (173 TPM, p99)",Tissue enhanced,False
SYF2,2,D,1,,300.4,,0,,,,,0,,"Overexpressed (300 TPM, p99)",Low tissue specificity,True
TAB2,2,D,1,,402.6,,0,,,,,0,,"Overexpressed (403 TPM, p100)",Low tissue specificity,True
TAF7,2,D,1,,425.6,,0,,,,,0,,"Overexpressed (426 TPM, p100)",Low tissue specificity,True
TAF9B,2,D,1,,263.8,,0,,,,,0,,"Overexpressed (264 TPM, p99)",Low tissue specificity,True
TAGLN2,2,D,1,,176.9,,0,,,,,0,,"Overexpressed (177 TPM, p99)",Low tissue specificity,True
TARS1,2,D,1,,269.2,,0,,,,,0,,"Overexpressed (269 TPM, p99)",Low tissue specificity,True
TASOR,2,D,1,,205.9,,0,,,,,0,,"Overexpressed (206 TPM, p99)",Low tissue specificity,True
TBC1D9,2,D,1,,168.7,,0,,,,,0,,"Overexpressed (169 TPM, p98)",Low tissue specificity,True
TBL1XR1,2,D,1,,160.8,,0,,,,,0,,"Overexpressed (161 TPM, p98)",Low tissue specificity,True
TCEAL8,2,D,1,,224.4,,0,,,,,0,,"Overexpressed (224 TPM, p99)",Low tissue specificity,True
TCF12,2,D,1,,201.4,,0,,,,,0,,"Overexpressed (201 TPM, p99)",Low tissue specificity,True
TCP1,2,D,1,,343.9,,0,,,,,0,,"Overexpressed (344 TPM, p100)",Low tissue specificity,True
TENT5A,2,D,1,,790.4,,0,,,,,0,,"Overexpressed (790 TPM, p100)",Group enriched,False
TET2,2,D,1,,160.1,,0,,,,,0,,"Overexpressed (160 TPM, p98)",Low tissue specificity,False
TFCP2,2,D,1,,204.0,,0,,,,,0,,"Overexpressed (204 TPM, p99)",Low tissue specificity,True
TGFB2,2,D,1,,170.1,,0,,,,,0,,"Overexpressed (170 TPM, p98)",Low tissue specificity,False
TGFBI,2,D,1,,307.3,,0,,,,,0,,"Overexpressed (307 TPM, p99)",Tissue enhanced,False
THOC7,2,D,1,,209.4,,0,,,,,0,,"Overexpressed (209 TPM, p99)",Low tissue specificity,True
THRAP3,2,D,1,,179.4,,0,,,,,0,,"Overexpressed (179 TPM, p99)",Low tissue specificity,True
TIA1,2,D,1,,206.3,,0,,,,,0,,"Overexpressed (206 TPM, p99)",Low tissue specificity,True
TIAL1,2,D,1,,188.1,,0,,,,,0,,"Overexpressed (188 TPM, p99)",Low tissue specificity,True
TIMM9,2,D,1,,165.3,,0,,,,,0,,"Overexpressed (165 TPM, p98)",Low tissue specificity,True
TIMP1,2,D,1,,1067.6,,0,,,,,0,,"Overexpressed (1068 TPM, p100)",Tissue enhanced,False
TIMP2,2,D,1,,689.8,,0,,,,,0,,"Overexpressed (690 TPM, p100)",Low tissue specificity,True
TIMP3,2,D,1,,424.3,,0,,,,,0,,"Overexpressed (424 TPM, p100)",Low tissue specificity,True
TIPARP,2,D,1,,344.2,,0,,,,,0,,"Overexpressed (344 TPM, p100)",Low tissue specificity,True
TIPRL,2,D,1,,188.8,,0,,,,,0,,"Overexpressed (189 TPM, p99)",Low tissue specificity,True
TJP1,2,D,1,,578.5,,0,,,,,0,,"Overexpressed (579 TPM, p100)",Low tissue specificity,True
TMEM263,2,D,1,,218.0,,0,,,,,0,,"Overexpressed (218 TPM, p99)",Low tissue specificity,True
TMSB10,2,D,1,,5196.8,,0,,,,,0,,"Overexpressed (5197 TPM, p100)",Low tissue specificity,True
TNC,2,D,1,,1755.5,,0,,,,,0,,"Overexpressed (1756 TPM, p100)",Tissue enhanced,False
TNIK,2,D,1,,199.7,,0,,,,,0,,"Overexpressed (200 TPM, p99)",Low tissue specificity,False
TNKS,2,D,1,,160.3,,0,,,,,0,,"Overexpressed (160 TPM, p98)",Low tissue specificity,True
TNKS2,2,D,1,,229.4,,0,,,,,0,,"Overexpressed (229 TPM, p99)",Low tissue specificity,True
TNPO1,2,D,1,,174.6,,0,,,,,0,,"Overexpressed (175 TPM, p99)",Low tissue specificity,True
TNRC6B,2,D,1,,185.1,,0,,,,,0,,"Overexpressed (185 TPM, p99)",Low tissue specificity,True
TNS3,2,D,1,,207.3,,0,,,,,0,,"Overexpressed (207 TPM, p99)",Low tissue specificity,True
TOB1,2,D,1,,177.6,,0,,,,,0,,"Overexpressed (178 TPM, p99)",Low tissue specificity,True
TOP2A,2,D,1,,425.8,,0,,,,,0,,"Overexpressed (426 TPM, p100)",Tissue enhanced,False
TOP2B,2,D,1,,231.2,,0,,,,,0,,"Overexpressed (231 TPM, p99)",Low tissue specificity,True
TOPORS,2,D,1,,167.1,,0,,,,,0,,"Overexpressed (167 TPM, p98)",Low tissue specificity,True
TP53INP1,2,D,1,,380.5,,0,,,,,0,,"Overexpressed (381 TPM, p100)",Tissue enhanced,False
TPM2,2,D,1,,220.9,,0,,,,,0,,"Overexpressed (221 TPM, p99)",Tissue enhanced,False
TPR,2,D,1,,386.5,,0,,,,,0,,"Overexpressed (386 TPM, p100)",Low tissue specificity,True
TPX2,2,D,1,,163.8,,0,,,,,0,,"Overexpressed (164 TPM, p98)",Tissue enhanced,False
TRA2A,2,D,1,,256.9,,0,,,,,0,,"Overexpressed (257 TPM, p99)",Low tissue specificity,True
TRAK2,2,D,1,,194.0,,0,,,,,0,,"Overexpressed (194 TPM, p99)",Tissue enhanced,False
TRIM33,2,D,1,,184.7,,0,,,,,0,,"Overexpressed (185 TPM, p99)",Low tissue specificity,True
TRIP12,2,D,1,,197.4,,0,,,,,0,,"Overexpressed (197 TPM, p99)",Low tissue specificity,True
TRIR,2,D,1,,172.0,,0,,,,,0,,"Overexpressed (172 TPM, p99)",Low tissue specificity,True
TRPS1,2,D,1,,301.5,,0,,,,,0,,"Overexpressed (301 TPM, p99)",Tissue enriched,False
TSC22D1,2,D,1,,198.5,,0,,,,,0,,"Overexpressed (199 TPM, p99)",Low tissue specificity,True
TSC22D3,2,D,1,,205.3,,0,,,,,0,,"Overexpressed (205 TPM, p99)",Low tissue specificity,True
TTLL6,2,D,1,YES,0.7,,0,,,,,0,,Mutated (MODERATE),Tissue enhanced,False
TUBB,2,D,1,,193.0,,0,,,,,0,,"Overexpressed (193 TPM, p99)",Low tissue specificity,True
TUBB4B,2,D,1,,200.9,,0,,,,,0,,"Overexpressed (201 TPM, p99)",Low tissue specificity,True
TUT7,2,D,1,,432.3,,0,,,,,0,,"Overexpressed (432 TPM, p100)",Low tissue specificity,True
TWIST1,2,D,1,,531.0,,0,,,,,0,,"Overexpressed (531 TPM, p100)",Tissue enhanced,False
TWSG1,2,D,1,,165.6,,0,,,,,0,,"Overexpressed (166 TPM, p98)",Low tissue specificity,True
U2SURP,2,D,1,,184.6,,0,,,,,0,,"Overexpressed (185 TPM, p99)",Low tissue specificity,True
UACA,2,D,1,,410.5,,0,,,,,0,,"Overexpressed (410 TPM, p100)",Tissue enhanced,False
UBAP2L,2,D,1,,348.9,,0,,,,,0,,"Overexpressed (349 TPM, p100)",Low tissue specificity,True
UBC,2,D,1,,1384.0,,0,,,,,0,,"Overexpressed (1384 TPM, p100)",Low tissue specificity,True
UBE2H,2,D,1,,264.2,,0,,,,,0,,"Overexpressed (264 TPM, p99)",Low tissue specificity,True
UBE2Q2,2,D,1,,179.8,,0,,,,,0,,"Overexpressed (180 TPM, p99)",Low tissue specificity,True
UBE2R2,2,D,1,,167.4,,0,,,,,0,,"Overexpressed (167 TPM, p98)",Low tissue specificity,True
UBE4A,2,D,1,,183.7,,0,,,,,0,,"Overexpressed (184 TPM, p99)",Low tissue specificity,True
UBQLN1,2,D,1,,230.8,,0,,,,,0,,"Overexpressed (231 TPM, p99)",Low tissue specificity,True
UBR5,2,D,1,,344.6,,0,,,,,0,,"Overexpressed (345 TPM, p100)",Low tissue specificity,True
UBXN2B,2,D,1,,181.5,,0,,,,,0,,"Overexpressed (181 TPM, p99)",Low tissue specificity,True
UFSP2,2,D,1,,179.6,,0,,,,,0,,"Overexpressed (180 TPM, p99)",Low tissue specificity,True
UHMK1,2,D,1,,212.0,,0,,,,,0,,"Overexpressed (212 TPM, p99)",Low tissue specificity,True
UPF2,2,D,1,,235.0,,0,,,,,0,,"Overexpressed (235 TPM, p99)",Low tissue specificity,True
UQCRH,2,D,1,,238.6,,0,,,,,0,,"Overexpressed (239 TPM, p99)",Low tissue specificity,True
USO1,2,D,1,,359.9,,0,,,,,0,,"Overexpressed (360 TPM, p100)",Tissue enhanced,False
USP32,2,D,1,,158.1,,0,,,,,0,,"Overexpressed (158 TPM, p98)",Tissue enhanced,False
USP34,2,D,1,,215.6,,0,,,,,0,,"Overexpressed (216 TPM, p99)",Low tissue specificity,True
USP7,2,D,1,,171.9,,0,,,,,0,,"Overexpressed (172 TPM, p99)",Low tissue specificity,True
USP9X,2,D,1,,205.9,,0,,,,,0,,"Overexpressed (206 TPM, p99)",Low tissue specificity,True
UTY,2,D,1,,175.5,,0,,,,,0,,"Overexpressed (176 TPM, p99)",Low tissue specificity,False
VEGFC,2,D,1,,179.9,,0,,,,,0,,"Overexpressed (180 TPM, p99)",Low tissue specificity,False
VEZF1,2,D,1,,198.8,,0,,,,,0,,"Overexpressed (199 TPM, p99)",Low tissue specificity,True
VIM,2,D,1,,1169.0,,0,,,,,0,,"Overexpressed (1169 TPM, p100)",Tissue enhanced,False
VPS13C,2,D,1,,211.6,,0,,,,,0,,"Overexpressed (212 TPM, p99)",Low tissue specificity,True
VPS4B,2,D,1,,196.2,,0,,,,,0,,"Overexpressed (196 TPM, p99)",Low tissue specificity,True
VPS54,2,D,1,,169.2,,0,,,,,0,,"Overexpressed (169 TPM, p98)",Low tissue specificity,True
WAPL,2,D,1,,272.0,,0,,,,,0,,"Overexpressed (272 TPM, p99)",Low tissue specificity,True
WASHC4,2,D,1,,173.0,,0,,,,,0,,"Overexpressed (173 TPM, p99)",Low tissue specificity,True
WASL,2,D,1,,316.3,,0,,,,,0,,"Overexpressed (316 TPM, p99)",Low tissue specificity,True
WDFY1,2,D,1,,166.7,,0,,,,,0,,"Overexpressed (167 TPM, p98)",Low tissue specificity,True
WDR26,2,D,1,,166.6,,0,,,,,0,,"Overexpressed (167 TPM, p98)",Low tissue specificity,True
WDR43,2,D,1,,351.8,,0,,,,,0,,"Overexpressed (352 TPM, p100)",Low tissue specificity,True
WDR45B,2,D,1,,158.6,,0,,,,,0,,"Overexpressed (159 TPM, p98)",Low tissue specificity,True
WNK1,2,D,1,,212.8,,0,,,,,0,,"Overexpressed (213 TPM, p99)",Low tissue specificity,True
WSB1,2,D,1,,544.6,,0,,,,,0,,"Overexpressed (545 TPM, p100)",Low tissue specificity,True
WWC1,2,D,1,YES,27.6,,0,,,,,0,,Mutated (MODERATE) | Expressed (28 TPM),Tissue enhanced,False
XPA,2,D,1,,195.0,,0,,,,,0,,"Overexpressed (195 TPM, p99)",Low tissue specificity,True
XPOT,2,D,1,,437.5,,0,,,,,0,,"Overexpressed (438 TPM, p100)",Low tissue specificity,True
XRCC5,2,D,1,,274.0,,0,,,,,0,,"Overexpressed (274 TPM, p99)",Low tissue specificity,True
XRCC6,2,D,1,,295.1,,0,,,,,0,,"Overexpressed (295 TPM, p99)",Low tissue specificity,True
XRN2,2,D,1,,529.4,,0,,,,,0,,"Overexpressed (529 TPM, p100)",Low tissue specificity,True
YPEL5,2,D,1,,260.6,,0,,,,,0,,"Overexpressed (261 TPM, p99)",Tissue enriched,False
YTHDF3,2,D,1,,255.2,,0,,,,,0,,"Overexpressed (255 TPM, p99)",Low tissue specificity,True
YWHAE,2,D,1,,299.7,,0,,,,,0,,"Overexpressed (300 TPM, p99)",Low tissue specificity,True
YWHAG,2,D,1,,392.4,,0,,,,,0,,"Overexpressed (392 TPM, p100)",Tissue enhanced,False
YWHAH,2,D,1,,192.0,,0,,,,,0,,"Overexpressed (192 TPM, p99)",Group enriched,False
YWHAQ,2,D,1,,459.9,,0,,,,,0,,"Overexpressed (460 TPM, p100)",Low tissue specificity,True
ZBTB10,2,D,1,,215.3,,0,,,,,0,,"Overexpressed (215 TPM, p99)",Low tissue specificity,True
ZC3H13,2,D,1,,310.8,,0,,,,,0,,"Overexpressed (311 TPM, p99)",Low tissue specificity,True
ZC3HAV1,2,D,1,,393.9,,0,,,,,0,,"Overexpressed (394 TPM, p100)",Tissue enhanced,False
ZCCHC24,2,D,1,,216.7,,0,,,,,0,,"Overexpressed (217 TPM, p99)",Tissue enhanced,False
ZEB1,2,D,1,,499.5,,0,,,,,0,,"Overexpressed (499 TPM, p100)",Low tissue specificity,True
ZFAND1,2,D,1,,171.1,,0,,,,,0,,"Overexpressed (171 TPM, p98)",Low tissue specificity,True
ZFAND5,2,D,1,,657.1,,0,,,,,0,,"Overexpressed (657 TPM, p100)",Tissue enhanced,False
ZFC3H1,2,D,1,,302.5,,0,,,,,0,,"Overexpressed (302 TPM, p99)",Low tissue specificity,True
ZFHX3,2,D,1,,190.3,,0,,,,,0,,"Overexpressed (190 TPM, p99)",Low tissue specificity,False
ZFP36,2,D,1,,289.4,,0,,,,,0,,"Overexpressed (289 TPM, p99)",Low tissue specificity,True
ZFP36L1,2,D,1,,579.9,,0,,,,,0,,"Overexpressed (580 TPM, p100)",Low tissue specificity,True
ZFP36L2,2,D,1,,764.7,,0,,,,,0,,"Overexpressed (765 TPM, p100)",Low tissue specificity,True
ZFP62,2,D,1,,203.5,,0,,,,,0,,"Overexpressed (203 TPM, p99)",Low tissue specificity,True
ZFR,2,D,1,,313.8,,0,,,,,0,,"Overexpressed (314 TPM, p99)",Low tissue specificity,True
ZHX1,2,D,1,,183.8,,0,,,,,0,,"Overexpressed (184 TPM, p99)",Low tissue specificity,True
ZKSCAN1,2,D,1,,184.8,,0,,,,,0,,"Overexpressed (185 TPM, p99)",Low tissue specificity,True
ZKSCAN8,2,D,1,,189.2,,0,,,,,0,,"Overexpressed (189 TPM, p99)",Low tissue specificity,True
ZMAT2,2,D,1,,326.8,,0,,,,,0,,"Overexpressed (327 TPM, p99)",Low tissue specificity,True
ZMIZ1,2,D,1,,160.7,,0,,,,,0,,"Overexpressed (161 TPM, p98)",Low tissue specificity,True
ZNF106,2,D,1,,174.8,,0,,,,,0,,"Overexpressed (175 TPM, p99)",Group enriched,False
ZNF146,2,D,1,,158.0,,0,,,,,0,,"Overexpressed (158 TPM, p98)",Low tissue specificity,True
ZNF207,2,D,1,,172.7,,0,,,,,0,,"Overexpressed (173 TPM, p99)",Low tissue specificity,True
ZNF217,2,D,1,,268.4,,0,,,,,0,,"Overexpressed (268 TPM, p99)",Low tissue specificity,False
ZNF24,2,D,1,,257.2,,0,,,,,0,,"Overexpressed (257 TPM, p99)",Low tissue specificity,True
ZNF300,2,D,1,,199.0,,0,,,,,0,,"Overexpressed (199 TPM, p99)",Low tissue specificity,False
ZNF32,2,D,1,,168.8,,0,,,,,0,,"Overexpressed (169 TPM, p98)",Low tissue specificity,True
ZNF436,2,D,1,YES,32.5,,0,,,,,0,,Mutated (MODERATE) | Expressed (32 TPM),Low tissue specificity,True
ZNF460,2,D,1,,174.0,,0,,,,,0,,"Overexpressed (174 TPM, p99)",Low tissue specificity,False
ZNF638,2,D,1,,234.4,,0,,,,,0,,"Overexpressed (234 TPM, p99)",Low tissue specificity,True
ZNF644,2,D,1,,287.4,,0,,,,,0,,"Overexpressed (287 TPM, p99)",Low tissue specificity,True
ZNF674,2,D,1,YES,34.2,,0,,,,,0,,Mutated (MODERATE) | Expressed (34 TPM),Low tissue specificity,False
ZNF721,2,D,1,,221.1,,0,,,,,0,,"Overexpressed (221 TPM, p99)",Low tissue specificity,True
ZNF764,2,D,1,YES,5.6,,0,,,,,0,,Mutated (MODERATE) | Expressed (6 TPM),Low tissue specificity,True
ZNF841,2,D,1,,243.0,,0,,,,,0,,"Overexpressed (243 TPM, p99)",Low tissue specificity,True
ZNF91,2,D,1,,162.2,,0,,,,,0,,"Overexpressed (162 TPM, p98)",Low tissue specificity,True
ZRANB2,2,D,1,,174.8,,0,,,,,0,,"Overexpressed (175 TPM, p99)",Low tissue specificity,True
ZXDB,2,D,1,,349.6,,0,,,,,0,,"Overexpressed (350 TPM, p100)",Low tissue specificity,True
ZZZ3,2,D,1,,211.3,,0,,,,,0,,"Overexpressed (211 TPM, p99)",Low tissue specificity,True
