ENSG00000284616.1	0	0	0
ENSG00000302445.1	0	0	0
ENSG00000302452.1	0	0	0
ENSG00000295735.1	0	0	0
ENSG00000284692.3	1	0	1
ENSG00000284666.1	0	0	0
ENSG00000260972.1	0	0	0
ENSG00000299325.1	0	0	0
ENSG00000283356.1	0	0	0
ENSG00000289893.2	0	0	0
ENSG00000264341.1	0	0	0
ENSG00000295108.1	0	0	0
ENSG00000295122.1	0	0	0
ENSG00000298180.1	0	0	0
ENSG00000264101.1	0	0	0
ENSG00000131697.18	545	6	539
ENSG00000299539.1	0	0	0
ENSG00000069424.16	1090	5	1086
ENSG00000116254.18	11	1	10
ENSG00000285629.1	1	0	1
ENSG00000116251.11	1369	11	1378
ENSG00000226944.2	0	0	0
ENSG00000158286.13	54	37	40
ENSG00000116237.16	2693	5	2724
ENSG00000225077.4	0	36	0
ENSG00000173673.9	1	1	0
ENSG00000158292.7	818	0	818
ENSG00000097021.21	105	3	102
ENSG00000271746.1	10	2	10
ENSG00000069812.11	7	0	7
ENSG00000187017.18	8	18	6
ENSG00000265392.1	0	0	0
ENSG00000231868.1	0	0	0
ENSG00000215788.11	139	0	155
ENSG00000171680.23	1481	3	1478
ENSG00000297749.1	0	0	0
ENSG00000299237.1	0	0	0
ENSG00000299253.1	0	0	0
ENSG00000162408.11	2533	6	2527
ENSG00000253022.1	0	0	0
ENSG00000229519.2	3	3	0
ENSG00000173662.21	52	52	0
ENSG00000204859.13	469	87	382
ENSG00000162413.17	637	5	746
ENSG00000295286.1	0	114	0
ENSG00000304810.1	0	0	0
ENSG00000116273.6	677	12	665
ENSG00000041988.16	293	262	391
ENSG00000007923.17	1663	260	1763
ENSG00000228750.8	0	0	0
ENSG00000284744.1	0	0	0
ENSG00000237436.2	0	0	0
ENSG00000171735.21	2134	22	2112
ENSG00000227950.1	0	0	0
ENSG00000237365.1	0	0	0
ENSG00000207056.1	0	0	0
ENSG00000310450.1	0	0	0
ENSG00000237402.2	0	0	0
ENSG00000237728.3	0	0	0
ENSG00000294314.1	0	0	0
ENSG00000225126.2	0	0	0
ENSG00000298973.1	0	0	0
ENSG00000306883.1	0	0	0
ENSG00000302704.1	0	0	0
ENSG00000270171.1	0	0	0
ENSG00000270035.1	0	0	0
ENSG00000269978.2	0	0	0
ENSG00000300603.1	0	0	0
ENSG00000049245.13	3107	0	3107
ENSG00000269925.1	0	0	0
ENSG00000049246.15	2210	20	3294
ENSG00000236266.2	1	346	11
ENSG00000049247.14	2	749	1
ENSG00000302605.1	0	0	0
ENSG00000049249.10	140	0	140
ENSG00000270330.1	0	0	0
ENSG00000116288.13	4526	91	4435
ENSG00000299004.1	0	0	0
ENSG00000200344.1	0	0	0
ENSG00000284747.1	17	105	0
ENSG00000284716.1	5	0	5
ENSG00000116285.13	52319	38	52370
ENSG00000238290.2	2	2	0
ENSG00000232848.1	0	0	0
ENSG00000301325.1	0	0	0
ENSG00000227634.4	0	1	0
ENSG00000229305.1	0	0	0
ENSG00000301344.1	0	0	0
ENSG00000200975.1	0	0	0
ENSG00000233645.1	0	0	0
ENSG00000298156.1	0	0	0
ENSG00000301025.1	0	1	0
ENSG00000301006.1	0	0	1
ENSG00000251977.1	0	0	0
ENSG00000162426.16	54	1	53
ENSG00000252254.1	0	0	0
ENSG00000142599.20	11700	86	11616
ENSG00000232912.6	0	0	1
ENSG00000221083.1	0	0	0
ENSG00000270282.1	0	0	0
ENSG00000234619.1	4	4	0
ENSG00000224315.2	25	0	25
ENSG00000303676.1	1	1	0
ENSG00000222511.2	0	0	0
ENSG00000226545.1	1	1	0
ENSG00000228423.2	3	0	3
ENSG00000229716.2	0	0	0
ENSG00000074800.16	14144	8	14957
ENSG00000274258.1	0	0	0
ENSG00000230679.2	0	821	0
ENSG00000201725.1	0	0	0
ENSG00000238249.2	0	0	0
ENSG00000310107.1	0	0	0
ENSG00000232208.2	0	0	0
ENSG00000232663.2	0	0	0
ENSG00000310124.1	0	0	0
ENSG00000131686.15	1	0	1
ENSG00000290109.2	0	0	0
ENSG00000265141.2	0	0	0
ENSG00000197241.4	2	2	0
ENSG00000142583.18	313	4	309
ENSG00000252404.1	0	0	0
ENSG00000180758.12	246	0	246
ENSG00000228526.9	1	0	1
ENSG00000284357.1	0	0	0
ENSG00000289914.2	0	0	0
ENSG00000302015.1	0	0	0
ENSG00000234546.6	1	1	1
ENSG00000301983.1	0	0	0
ENSG00000301968.1	0	0	0
ENSG00000049239.13	3053	9	3045
ENSG00000302217.1	1	1	0
ENSG00000171621.14	901	1	900
ENSG00000294252.1	1	1	0
ENSG00000296073.1	0	0	0
ENSG00000296056.1	0	0	0
ENSG00000307568.1	0	0	0
ENSG00000284652.1	0	0	0
ENSG00000284693.3	0	0	0
ENSG00000252956.1	0	0	0
ENSG00000301013.1	0	0	0
ENSG00000301030.1	0	0	0
ENSG00000306844.1	0	0	0
ENSG00000296249.1	0	0	0
ENSG00000235263.2	0	0	0
ENSG00000171612.7	502	0	502
ENSG00000231181.1	0	0	0
ENSG00000188807.13	384	3	381
ENSG00000307011.1	0	0	0
ENSG00000171608.18	578	108	576
ENSG00000179840.5	25	25	0
ENSG00000233268.3	0	1	0
ENSG00000301080.1	0	0	0
ENSG00000231789.5	0	0	0
ENSG00000171603.18	10230	59	10279
ENSG00000271264.1	8	8	0
ENSG00000280113.2	0	0	0
ENSG00000178585.15	255	0	338
ENSG00000223989.1	0	83	0
ENSG00000285701.2	0	0	0
ENSG00000228150.2	0	735	3
ENSG00000162441.12	1348	6	2082
ENSG00000173614.14	497	19	478
ENSG00000202415.1	0	0	0
ENSG00000283611.2	0	0	0
ENSG00000265521.1	0	0	0
ENSG00000241326.1	0	0	0
ENSG00000162444.12	338	6	332
ENSG00000130939.20	5527	10	5519
ENSG00000224340.1	8	8	0
ENSG00000233623.2	0	0	0
ENSG00000201746.1	0	0	0
ENSG00000054523.20	10660	41	10621
ENSG00000264881.1	0	0	0
ENSG00000199562.1	0	0	0
ENSG00000264501.2	0	0	0
ENSG00000284735.1	0	0	0
ENSG00000284642.1	1	1	1
ENSG00000142657.21	2178	6	2172
ENSG00000271989.1	0	17	0
ENSG00000251503.8	2	2	0
ENSG00000175279.22	7	0	7
ENSG00000241563.4	22	0	22
ENSG00000160049.12	2352	4	2815
ENSG00000203469.2	0	70	0
ENSG00000142655.13	306	397	305
ENSG00000307253.1	0	0	0
ENSG00000287727.1	0	0	0
ENSG00000243267.3	0	0	0
ENSG00000130940.15	102	7	146
